Time_s	f1_Hz	f3_Hz	f5_Hz	f7_Hz	f9_Hz	f11_Hz	f13_Hz	D1_ppm	D3_ppm	D5_ppm	D7_ppm	D9_ppm	D11_ppm	D13_ppm
0.0000	0.6442	0.1209	0.2599	0.1079	0.0998	0.2506	0.0967	-0.0609	-0.0139	-0.0171	-0.0370	0.0176	-0.1034	0.1178
1.7566	0.0766	0.2177	0.1135	0.0896	0.1050	0.1829	-0.0599	0.1591	0.0182	0.0031	-0.0303	0.0112	0.0468	-0.1529
3.4659	-0.2383	-0.0725	-0.0387	0.0818	-0.0424	-0.0479	0.3209	0.1928	0.0356	-0.0234	0.0293	0.0127	-0.0612	-0.0778
5.0866	-0.3098	-0.1753	-0.1594	-0.1976	-0.0821	-0.3832	-0.1007	0.1564	0.0719	0.0503	0.0249	0.0667	0.0671	0.1433
6.7013	-0.3208	-0.0759	-0.0598	-0.1855	-0.0822	-0.3708	0.8540	0.1017	0.0964	0.0163	0.0077	0.0510	0.1160	0.3458
8.3671	-0.2932	-0.0741	-0.2077	-0.0421	0.0157	-0.2893	-0.4290	0.1035	-0.0114	0.0150	0.0335	0.0407	-0.0478	0.0535
9.9786	-0.1184	0.0416	-0.0377	-0.0271	0.0345	0.0100	0.3682	0.0749	0.0217	0.0103	0.0108	-0.0069	-0.0138	-0.1650
11.6357	-0.1163	0.0280	-0.0001	0.1402	0.0151	0.1780	1.0849	0.0111	0.0241	-0.0663	-0.0416	-0.0120	0.0131	0.0546
13.2964	0.0111	-0.0550	0.0904	-0.0018	0.0697	0.2165	-0.0905	-0.0358	0.0269	-0.0020	0.0145	-0.0115	-0.0332	-0.0138
15.0457	-0.0017	-0.0328	0.1169	-0.0265	0.0042	-0.2755	-0.3446	-0.0224	-0.0081	0.0150	-0.0053	-0.0055	0.0588	-0.2987
16.7765	0.0374	0.0582	0.1061	-0.0167	-0.0348	-0.1832	-0.6874	-0.0863	-0.0004	-0.0375	0.0044	-0.0172	-0.0955	0.0775
18.5657	-0.0123	0.0252	0.0815	0.0346	0.0442	-0.0366	0.4430	-0.0445	-0.0356	-0.0258	0.0210	0.0215	0.0604	-0.1238
20.2935	0.0451	-0.0822	0.0859	-0.0192	0.0356	0.1061	-0.7138	-0.0302	-0.0404	0.0126	-0.0069	-0.0425	-0.1478	-0.0519
22.0454	0.0284	0.0887	-0.0845	-0.0809	0.0536	0.3948	0.5154	-0.0611	0.0277	0.0528	0.0037	-0.0317	-0.0381	-0.0002
23.6964	0.0810	-0.0398	-0.1972	0.0401	-0.0466	0.0064	-0.9202	-0.0585	-0.0306	0.0051	-0.0073	-0.0059	-0.0724	-0.2214
25.4846	0.1654	0.0915	0.0144	-0.0480	0.0351	0.1731	-0.0084	-0.0657	-0.0523	-0.0167	0.0085	-0.0100	-0.0067	0.1017
27.2321	0.0013	0.0238	-0.1325	0.0338	0.0239	0.0757	0.3232	-0.0580	-0.0061	0.0184	0.0022	0.0219	0.0976	-0.1050
29.0025	0.0409	-0.0305	0.0019	0.1085	0.0255	0.1173	-0.1847	-0.0750	-0.0416	0.0254	-0.0234	-0.0430	0.0729	-0.2871
30.7558	0.2048	-0.1158	0.0176	0.0311	-0.1185	-0.1744	-0.4358	-0.0744	-0.0420	-0.0136	0.0036	-0.0509	0.0716	0.3484
32.5323	0.0403	0.0698	0.0192	0.0399	-0.0672	-0.0192	-0.5658	-0.0507	-0.0009	0.0079	-0.0058	0.0315	-0.0300	0.0887
34.3030	0.0343	-0.0117	0.0103	-0.0620	-0.0881	0.0687	0.5345	-0.0759	-0.0392	-0.0299	-0.0065	-0.0377	0.0455	0.1665
36.0358	0.0547	0.0182	0.1121	0.0849	-0.0278	-0.1655	0.2478	-0.0607	-0.0148	-0.0101	-0.0204	-0.0075	-0.1182	0.0304
37.7813	0.0379	-0.0221	0.0114	0.0086	-0.0672	-0.2298	-0.2843	-0.0818	0.0077	-0.0052	-0.0287	-0.0036	-0.0928	-0.2565
39.5438	-0.0371	-0.0150	-0.1116	-0.0752	-0.0020	0.0990	0.1330	-0.0448	-0.0327	0.0451	-0.0237	-0.0027	-0.0271	-0.0820
41.3078	0.0551	0.0501	-0.0544	0.0463	0.0264	0.0890	-0.0404	-0.0165	0.0330	-0.0473	0.0255	-0.0207	0.0048	-0.2272
43.0517	-0.0603	0.0973	-0.1191	-0.0700	0.0139	-0.3844	-0.4219	-0.1053	-0.0131	-0.0258	-0.0122	-0.0175	-0.1184	0.0072
44.8437	0.0320	0.0997	-0.0220	-0.0517	0.0315	-0.0502	-0.3337	-0.0435	-0.0520	-0.0194	0.0362	-0.0179	-0.1041	-0.1913
46.6282	0.0530	0.0206	-0.0639	-0.1203	-0.0240	-0.1253	-0.4323	-0.0941	-0.0123	-0.0856	-0.0263	-0.0007	0.0215	-0.0828
48.3777	-0.0123	0.0781	-0.1091	-0.1332	-0.0236	-0.2207	-0.1302	-0.0709	-0.0336	-0.0635	-0.0043	-0.0451	-0.0293	-0.1496
50.1037	0.1791	-0.1163	0.0331	-0.0067	-0.1124	-0.1839	0.2541	-0.0967	-0.0273	-0.0385	-0.0101	-0.0112	-0.1421	0.2687
51.9037	-0.0474	-0.0835	-0.0433	-0.0468	0.0007	-0.1671	-0.3138	-0.0768	0.0171	-0.0187	-0.0065	0.0018	-0.0708	0.0369
53.5244	0.0164	-0.0647	-0.0520	-0.0205	-0.0563	0.1549	0.5550	-0.1104	0.0144	-0.0617	0.0101	0.0095	0.0026	-0.3160
55.1943	0.0182	0.0230	0.0291	-0.1438	0.0009	0.1703	0.2663	-0.0604	-0.0251	-0.0616	-0.0448	-0.0067	0.0174	-0.1762
56.8128	0.1118	-0.0452	-0.0465	-0.1321	-0.0474	-0.1558	0.3062	-0.0685	-0.0019	0.0162	0.0018	-0.0405	-0.0303	-0.0233
58.4138	0.0140	0.0835	0.0154	-0.1242	-0.0415	-0.1842	0.7052	-0.1125	0.0156	0.0104	0.0086	0.0009	-0.0498	-0.0096
60.0699	0.0031	0.0049	-0.0598	-0.0910	-0.0384	-0.0133	0.2413	-0.1033	-0.0527	0.0031	-0.0322	0.0499	0.0431	-0.1314
61.8003	0.0019	-0.0481	-0.3115	-0.0290	-0.0892	0.1061	0.2088	-0.0633	-0.0666	-0.0712	-0.0227	-0.0435	-0.1006	0.0528
63.5577	-0.0102	-0.0461	0.0788	-0.0460	-0.0856	-0.0465	0.3274	-0.0845	-0.0220	-0.0459	-0.0709	-0.0169	-0.0861	0.0598
65.2266	0.0687	0.0503	-0.1218	-0.1022	-0.0196	-0.1100	-0.6598	-0.1612	0.0354	-0.0542	-0.0070	0.0072	-0.0532	-0.0678
66.9385	0.1035	-0.0196	-0.1472	-0.1267	-0.0813	0.0234	-0.3894	-0.0888	0.0186	0.0160	-0.0464	-0.0237	-0.0220	-0.1387
68.5338	-0.0535	-0.0480	-0.2467	-0.1493	-0.0675	-0.0701	0.0158	-0.0743	-0.0014	0.0239	-0.0438	-0.0025	-0.1022	-0.0119
70.2221	0.0325	-0.1256	0.1292	-0.1170	-0.0357	-0.0596	0.1967	-0.1281	-0.0036	-0.0123	-0.0171	0.0073	0.0041	0.0443
71.9062	0.0503	-0.1728	-0.1560	-0.1164	-0.1106	0.0398	-0.7341	-0.1446	0.0199	-0.0436	-0.0266	-0.0139	-0.0479	-0.2874
73.5819	0.0361	-0.0259	0.0769	-0.0937	-0.1603	0.1716	-0.1403	-0.1050	-0.0599	0.0103	-0.0378	-0.0205	0.0401	-0.2058
75.2886	-0.0218	0.0058	-0.0846	-0.0313	-0.1242	-0.0493	-0.5016	-0.1424	-0.0818	0.0051	-0.0454	-0.0426	-0.0651	0.0758
77.0618	0.0461	-0.1212	-0.0674	-0.0081	-0.0395	-0.0202	0.0103	-0.0911	-0.0114	-0.0499	-0.0172	-0.0235	-0.0526	-0.1349
78.8297	0.0129	0.0072	-0.1191	-0.0832	-0.1048	-0.0725	-0.1412	-0.0978	-0.0164	-0.0584	0.0154	-0.0341	-0.0305	-0.2802
80.5917	-0.0132	-0.1114	-0.0803	-0.1040	-0.0941	0.0004	0.4080	-0.1345	-0.0170	-0.0499	-0.0341	-0.0460	-0.0303	0.0046
82.3596	0.0079	-0.0379	-0.1091	-0.1181	-0.0979	-0.1010	0.1341	-0.1062	-0.0217	-0.0149	-0.0011	0.0006	-0.0876	-0.0201
84.0918	-0.0030	0.0343	-0.0767	-0.0084	-0.0832	-0.1650	0.3486	-0.0972	-0.0459	-0.0017	0.0009	-0.0303	-0.0896	-0.1097
85.7325	0.0604	-0.0904	-0.1732	-0.0503	-0.0806	-0.0151	0.0744	-0.1258	0.0692	0.0026	-0.0266	-0.0211	-0.1883	0.1325
87.4012	-0.0085	-0.0295	-0.1345	-0.1458	-0.0476	0.0165	-0.5259	-0.1197	-0.0114	-0.0374	-0.0249	-0.0286	0.0056	0.1120
89.0298	0.0638	-0.0342	-0.1377	-0.1628	-0.0667	0.1393	0.7745	-0.1629	-0.0416	-0.0122	-0.0622	-0.0591	-0.0441	-0.1677
90.7225	0.0673	-0.2066	-0.1623	-0.1128	-0.0597	0.0551	0.4352	-0.1432	-0.0141	-0.0390	-0.0445	-0.0362	-0.0408	-0.1253
92.4359	0.0615	-0.0394	-0.1072	-0.0171	-0.1971	0.0563	0.0102	-0.1699	-0.0791	-0.0589	-0.0578	0.0056	-0.1160	0.0723
94.1562	0.1148	-0.0286	-0.0706	-0.1102	-0.0194	0.1158	-0.0054	-0.0916	-0.0160	-0.0537	-0.0272	-0.0349	0.0460	0.0319
95.9196	-0.1166	0.0700	-0.2873	-0.1162	-0.0770	-0.1357	-0.0500	-0.1637	-0.0362	-0.0625	0.0180	-0.0268	0.0424	0.2877
97.6667	-0.0609	-0.0043	-0.2236	-0.2614	-0.0242	-0.1226	-0.2800	-0.1111	-0.0563	-0.0328	-0.0559	-0.0110	-0.0462	0.1361
99.2783	0.0960	-0.1923	-0.1335	-0.1035	-0.0381	-0.1442	-0.7588	-0.1305	-0.0466	-0.0537	-0.0213	-0.0294	-0.0924	-0.5348
101.0091	0.0975	-0.0715	-0.0348	-0.0796	-0.1170	-0.2048	-0.4132	-0.0759	-0.0444	-0.0586	-0.0298	-0.0102	-0.0973	-0.2383
102.7638	0.1603	-0.0824	-0.1636	-0.0424	-0.0686	-0.1034	0.4404	-0.1599	-0.0084	-0.0276	-0.0260	-0.0398	0.0186	-0.1783
104.5185	0.0712	-0.0510	-0.2393	-0.2446	-0.0516	0.1377	-0.2703	-0.1495	-0.0364	-0.0127	0.0018	-0.0570	0.0310	0.5521
