Time_s	f1_Hz	f3_Hz	f5_Hz	f7_Hz	f9_Hz	f11_Hz	f13_Hz	D1_ppm	D3_ppm	D5_ppm	D7_ppm	D9_ppm	D11_ppm	D13_ppm
0.0000	0.2085	0.2014	0.0139	-0.0152	0.0445	0.0211	-0.2019	-0.0381	-0.0003	-0.0069	-0.0118	-0.0374	-0.0567	-0.2366
1.7704	0.0588	0.0099	0.1093	0.2154	-0.0780	-0.0020	-0.2971	0.0167	-0.0115	0.0316	-0.0102	-0.0124	-0.0462	0.1476
3.5575	0.0799	-0.0199	0.0428	-0.0116	0.0758	0.2819	-0.1040	-0.0286	0.0312	0.0269	-0.0180	0.0089	-0.0678	-0.0319
5.3243	0.0580	0.0795	0.0709	0.0164	-0.0331	-0.0208	-0.0586	-0.0629	-0.0409	-0.0235	0.0024	-0.0110	0.0239	-0.0997
7.1014	-0.1979	-0.0073	-0.0719	0.0503	-0.1108	0.1338	0.3082	0.0371	0.0640	0.0255	0.0019	0.0539	0.0356	-0.0147
8.9128	0.0802	-0.1063	-0.0836	0.0603	0.0891	0.2285	-0.0193	0.0007	0.0151	0.0267	-0.0041	-0.0380	0.0208	-0.1980
10.6756	-0.0073	0.0039	0.0001	-0.0392	-0.0726	-0.0593	0.0932	0.0167	-0.0295	-0.0375	-0.0175	0.0153	-0.1485	0.1316
12.4039	-0.2239	0.0538	0.0552	0.0931	0.1789	0.0969	-0.0131	0.0080	-0.0177	-0.0708	0.0103	-0.0124	-0.0008	-0.0430
14.0777	0.0272	0.0468	0.0998	-0.0321	0.0252	0.0305	0.2869	0.0067	0.0234	-0.0219	0.0130	0.0072	0.0218	0.1120
15.6521	0.0056	-0.1125	-0.0179	-0.0050	-0.0886	0.0573	0.5369	-0.0059	-0.0357	0.0100	-0.0214	0.0267	0.0112	0.0075
17.4188	-0.1128	0.1551	0.0910	0.0230	0.0550	0.0620	0.0453	-0.0212	0.0194	-0.0221	-0.0306	-0.0124	0.0908	0.1786
19.1457	0.0408	-0.0020	0.0109	0.0244	0.0193	-0.0754	0.2016	0.0044	0.0121	0.0051	-0.0071	0.0194	-0.0548	-0.1572
20.9167	0.1273	0.0644	-0.0085	-0.0251	0.0275	-0.0602	0.2248	-0.0201	-0.0510	0.0269	-0.0177	-0.0057	-0.0022	0.1517
22.7042	0.0011	-0.0840	-0.0339	0.0580	0.0194	0.1815	0.0326	0.0324	-0.0252	0.0152	0.0539	-0.0083	0.0938	-0.0710
24.5106	0.0567	-0.1050	-0.1447	-0.0171	0.0876	-0.1800	-0.2267	-0.0071	0.0248	0.0078	0.0187	-0.0185	0.0889	-0.0239
26.2687	-0.0524	0.0203	0.0496	0.0064	0.0172	-0.0404	0.2305	-0.0045	-0.0588	0.0215	0.0322	-0.0095	-0.0040	-0.1921
28.0865	-0.0295	-0.0312	-0.1004	-0.0833	-0.0193	-0.1884	0.0225	-0.0061	0.0450	-0.0559	0.0138	-0.0088	-0.0028	0.2246
29.8459	0.0436	0.0322	-0.0490	-0.0681	-0.0900	-0.1168	-0.2338	0.0019	-0.0250	0.0183	-0.0404	-0.0275	0.0176	0.0699
31.6344	0.0002	-0.0881	-0.0890	-0.1329	-0.0354	-0.2386	-0.0195	0.0338	0.0098	0.0393	0.0010	0.0191	-0.0642	0.0698
33.3886	-0.0264	-0.1392	0.0301	-0.0325	0.0061	-0.0454	-0.5855	0.0181	0.0441	-0.0099	0.0062	-0.0102	0.0541	0.0442
35.1893	-0.1378	0.0283	0.0253	-0.0850	-0.1178	-0.0661	-0.2230	0.0182	0.0070	-0.0064	0.0254	0.0617	-0.0103	-0.0695
36.9657	0.0621	-0.1064	-0.1965	-0.1107	-0.0911	-0.0948	-0.8198	-0.0094	-0.0321	0.0520	0.0332	0.0079	0.0503	-0.0411
38.7579	-0.1579	-0.0153	-0.0675	-0.1143	-0.0805	-0.1484	-0.4259	-0.0224	0.0459	0.0373	0.0210	-0.0428	0.0134	-0.0098
40.5184	-0.0875	-0.2012	-0.1130	-0.1500	-0.1197	0.0714	0.0816	0.0042	0.0148	0.0425	0.0089	-0.0047	-0.0218	0.3807
42.1679	-0.0149	-0.1957	-0.2066	-0.0968	-0.0841	-0.1821	-0.2951	0.0342	0.0446	0.0213	0.0368	0.0060	-0.0383	0.0218
43.8767	-0.0830	0.0481	-0.1538	-0.0828	-0.1576	0.0798	0.3013	0.0694	0.0433	-0.0071	-0.0174	0.0542	-0.0993	0.2535
45.5960	-0.0021	-0.2559	-0.1338	-0.0951	-0.2016	0.0986	-0.2840	0.0370	0.0323	0.0309	0.0196	-0.0049	0.0378	0.1689
47.3620	-0.1370	-0.0876	-0.1681	-0.2176	-0.0299	-0.3419	-0.0158	-0.0057	-0.0120	0.0053	0.0341	0.0774	-0.0003	-0.1618
49.1284	-0.0779	-0.0812	-0.1624	-0.0618	-0.0200	0.0175	-0.3260	0.0134	0.0133	0.0631	0.0018	0.0287	-0.0097	-0.1140
50.9146	-0.0621	-0.1900	-0.1287	-0.0986	-0.0507	-0.2367	-0.3444	0.0012	-0.0240	0.0369	0.0344	0.0447	0.0182	0.1432
52.6744	0.0682	-0.2603	-0.0766	-0.1957	-0.1062	-0.0263	-0.3556	0.0563	0.0272	0.0356	0.0375	0.0208	0.0767	0.0336
54.4223	-0.1218	-0.2493	-0.1775	-0.1214	-0.1346	-0.0290	0.2529	0.0156	-0.0234	-0.0048	0.0188	0.0185	0.0142	-0.0104
56.1658	-0.0577	-0.1928	-0.0108	-0.0760	-0.1260	-0.2066	-0.5373	-0.0013	0.0401	0.0123	0.0235	0.0000	0.0652	-0.0786
