Time_s	f1_Hz	f3_Hz	f5_Hz	f7_Hz	f9_Hz	f11_Hz	f13_Hz	D1_ppm	D3_ppm	D5_ppm	D7_ppm	D9_ppm	D11_ppm	D13_ppm
0.0000	-0.2072	-0.0178	0.0507	-0.0208	0.0358	0.1891	0.0942	0.3302	0.0684	0.0538	0.0079	-0.0123	-0.0262	-0.1307
1.7365	0.0257	-0.0031	0.0684	0.0010	-0.0157	-0.1414	0.4432	0.0382	0.0321	0.0204	-0.0219	-0.0185	-0.0288	0.0162
3.5080	0.0005	0.0530	-0.0140	0.0090	-0.0275	-0.0237	0.0513	-0.0436	0.0040	0.0007	0.0139	0.0299	-0.0803	0.0771
5.3043	-0.0397	0.0252	0.0604	0.0340	0.0068	0.0457	-0.1100	0.0251	-0.0073	-0.0165	-0.0163	0.0170	-0.0003	-0.0745
7.0664	-0.0638	-0.0058	-0.0090	-0.0015	-0.0375	0.0446	0.1476	0.0147	-0.0760	-0.0064	0.0028	0.0066	0.0703	0.0132
8.8546	0.1051	0.0787	0.0138	-0.0241	-0.0256	0.0410	-0.2254	-0.0124	0.0195	-0.0077	0.0263	0.0118	0.0605	-0.0558
10.6398	-0.0294	0.0377	0.1097	0.0257	0.0305	-0.2140	-0.5101	0.0129	0.0292	0.0011	0.0092	-0.0175	-0.0032	-0.0896
12.4338	-0.0151	0.0340	-0.0122	0.0035	0.0581	-0.0231	0.0138	-0.0380	-0.0228	-0.0290	0.0016	-0.0041	-0.0158	-0.1926
14.2139	0.0575	0.0171	-0.0087	0.0345	0.0570	-0.0618	0.1727	-0.0183	0.0100	0.0388	0.0347	0.0016	0.0261	-0.1134
15.9902	-0.0282	-0.0535	-0.0153	-0.0441	-0.0404	0.1765	0.1386	0.0735	-0.0027	-0.0143	0.0565	0.0135	-0.0211	-0.0238
17.7677	-0.1986	0.1021	0.0543	0.0962	-0.0617	-0.0072	-0.0196	-0.0321	-0.0125	-0.0197	-0.0106	0.0079	0.0099	0.0577
19.5436	0.0036	-0.0641	-0.0067	0.0858	0.0056	0.0004	-0.1914	-0.0447	0.0014	-0.0046	-0.0313	0.0052	0.0521	0.0943
21.2877	0.0023	0.1039	0.1516	0.0758	0.0605	-0.0029	0.2932	0.0197	-0.0221	0.0545	-0.0059	0.0019	-0.0498	0.1655
23.0339	0.0023	0.0526	-0.0411	-0.0249	-0.0182	-0.2489	-0.2678	-0.0527	0.0346	0.0426	0.0143	-0.0041	0.0027	-0.0125
