Time_s	f1_Hz	f3_Hz	f5_Hz	f7_Hz	f9_Hz	f11_Hz	f13_Hz	D1_ppm	D3_ppm	D5_ppm	D7_ppm	D9_ppm	D11_ppm	D13_ppm
0.0000	-0.5163	0.0453	-0.0464	0.0132	0.0242	0.0254	0.4651	-0.1266	-0.0123	-0.0549	-0.0248	0.0287	-0.0733	0.0474
1.7246	-0.4119	-0.0528	0.0561	-0.0538	0.0108	-0.2801	0.1142	-0.0917	0.0047	-0.0153	-0.0050	0.0099	0.0289	0.1161
3.3479	-0.4120	-0.0367	-0.0247	0.0678	-0.0279	-0.0037	0.0396	-0.1003	0.0233	0.0045	-0.0272	0.0038	0.0257	-0.0352
4.9819	-0.3804	0.0945	-0.0480	0.0724	-0.0140	-0.1716	-0.1775	-0.1498	0.0073	0.0056	0.0102	0.0112	-0.0374	0.1136
6.6340	-0.1214	0.0196	0.0724	-0.0412	-0.0336	0.0746	-0.2909	-0.1221	-0.0311	-0.0215	0.0361	0.0129	-0.0302	-0.0938
8.2470	-0.2252	-0.0355	-0.0698	0.0375	0.0596	0.0537	-0.0241	-0.0655	-0.0346	0.0176	-0.0197	-0.0254	0.0430	0.0103
9.8811	0.1245	0.0288	-0.0019	-0.0614	0.0323	-0.0121	0.0007	-0.0124	-0.0105	0.0023	0.0243	-0.0087	-0.0710	0.1115
11.5493	0.1875	-0.0905	-0.0288	-0.0052	0.0079	-0.0265	0.3424	0.0287	-0.0114	-0.0196	0.0148	0.0053	0.1828	-0.0991
13.2812	0.3669	0.0275	0.1302	0.0375	-0.0361	0.1795	0.0175	0.0943	0.0274	0.0329	-0.0334	-0.0260	-0.0752	0.0892
15.0379	0.4071	-0.0386	0.0038	0.0182	-0.0024	-0.1231	-0.2380	0.1441	0.0278	0.0431	-0.0129	-0.0026	0.0415	-0.0797
16.7890	0.5557	0.0340	-0.0513	-0.0091	0.0218	0.0522	0.1599	0.1238	0.0034	-0.0146	-0.0168	-0.0014	-0.0421	-0.0039
18.5186	0.2975	-0.1739	0.0464	-0.0159	-0.0048	-0.2457	0.1990	0.1427	0.0250	0.0298	0.0159	0.0127	0.0248	-0.0243
20.2906	0.1520	-0.0871	0.0635	-0.0250	-0.0006	0.0100	-0.1854	0.0779	-0.0343	0.0025	-0.0184	0.0043	0.0130	-0.2764
21.9333	0.2929	0.1581	0.0628	-0.0742	0.0130	0.1397	-0.2201	0.0737	0.0460	-0.0130	-0.0114	-0.0002	0.0029	0.0673
