Time_s	f1_Hz	f3_Hz	f5_Hz	f7_Hz	f9_Hz	f11_Hz	f13_Hz	D1_ppm	D3_ppm	D5_ppm	D7_ppm	D9_ppm	D11_ppm	D13_ppm
0.0000	0.2589	-0.0361	0.1899	-0.0394	0.0226	-0.0678	-0.1939	-0.0997	-0.0122	0.0662	0.0070	0.0260	0.0093	0.0204
1.7327	0.0520	-0.0334	0.0481	0.0632	-0.0110	0.0641	0.0981	-0.0065	0.0083	0.0131	-0.0049	0.0076	-0.0314	-0.1478
3.5207	0.0799	-0.1024	-0.1406	0.0835	-0.0550	-0.0381	-0.4978	-0.0084	-0.0020	0.0001	-0.0046	-0.0162	-0.0196	0.2135
5.3076	0.0586	0.0043	-0.0766	0.0098	0.0150	-0.1886	0.4157	0.0377	-0.0003	0.0190	-0.0142	-0.0274	0.0029	0.0110
7.0828	0.0388	0.0349	-0.0537	-0.0138	0.0496	0.1230	0.0323	-0.0143	-0.0244	-0.0157	-0.0118	0.0020	-0.0572	0.0100
8.8508	-0.0377	0.0364	0.0515	-0.0850	0.0491	0.0836	0.0157	0.0370	-0.0137	-0.0037	0.0275	0.0033	-0.0532	-0.0957
10.6367	-0.0158	0.1219	0.0816	0.0502	0.0154	-0.0758	0.3338	0.0183	0.0075	0.0310	0.0102	-0.0034	-0.0545	0.1215
12.4431	0.0172	-0.0948	-0.0669	-0.0676	-0.0180	-0.1514	-0.3164	-0.0095	0.0108	0.0501	-0.0298	0.0304	0.1004	0.3141
14.2133	-0.1072	0.0378	-0.0026	-0.0419	-0.0730	0.0976	0.1124	-0.0308	0.0098	-0.0437	0.0010	-0.0132	0.0880	0.1633
16.0008	-0.0273	0.0864	0.0463	-0.0099	0.0371	-0.1490	-0.1994	0.0167	0.0022	-0.0789	-0.0217	0.0197	-0.0628	-0.0553
17.7589	-0.0811	-0.0592	-0.0379	0.0231	-0.0531	0.0211	0.1484	0.0371	-0.0286	0.0177	-0.0213	0.0046	0.0310	-0.0462
19.5417	-0.0120	0.0651	0.0579	-0.0778	-0.0328	-0.2208	0.4428	-0.0030	-0.0059	0.0029	-0.0060	-0.0342	0.0914	0.0030
21.2749	-0.1689	0.0136	0.0536	0.0632	0.1207	0.0251	0.2070	-0.0022	0.0036	-0.0164	0.0218	-0.0139	-0.0293	-0.0759
23.0474	-0.0125	-0.0690	-0.0601	0.0431	-0.0461	0.0126	0.0966	-0.0531	-0.0399	0.0486	0.0094	-0.0244	0.0299	0.0099
24.8069	0.0147	-0.0270	-0.0330	-0.0453	0.0921	-0.0674	0.5043	0.0551	0.0081	-0.0381	0.0112	0.0281	-0.0151	-0.1243
26.5948	-0.0476	-0.0143	-0.0376	0.0146	0.0109	-0.1556	-0.0211	-0.0201	-0.0144	0.0195	0.0081	0.0043	0.0315	-0.0531
28.3151	0.0428	0.0090	0.0098	0.0186	-0.0306	0.3417	-0.1905	0.0511	0.0277	-0.0028	-0.0047	0.0137	-0.0284	0.1201
30.1088	-0.0269	-0.0017	-0.0441	0.0063	-0.0345	0.0091	0.4057	0.0020	0.0029	-0.0635	0.0142	0.0116	0.0240	-0.1206
31.8747	0.1144	0.0211	-0.0180	-0.0059	-0.0207	0.1290	-0.2680	-0.0225	0.0055	0.0455	0.0110	-0.0129	0.0102	-0.1222
33.5891	-0.0544	-0.0112	0.0623	0.0086	-0.0569	-0.0332	-0.8234	0.0226	0.0393	0.0026	-0.0052	-0.0041	-0.0403	-0.1991
35.3909	-0.0858	0.0186	-0.0296	0.0023	0.0192	0.2408	-0.3025	-0.0075	0.0158	-0.0538	0.0028	-0.0016	-0.0267	0.0534
37.1308	0.0622	0.0172	0.2016	0.0474	0.0329	0.1668	-0.1835	-0.0095	-0.0222	-0.0299	0.0196	0.0050	0.0199	-0.1276
38.9132	-0.0799	0.0515	-0.0240	0.0289	-0.0234	-0.0542	-0.3637	-0.0139	0.0154	-0.0249	0.0083	0.0100	0.0826	-0.0021
40.6770	-0.0566	-0.0787	0.2042	-0.0853	0.0359	0.1764	0.2979	0.0352	-0.0223	-0.0233	0.0165	0.0150	-0.0077	-0.0622
42.4928	0.0001	0.2026	0.0315	0.0066	0.0203	-0.0630	-0.0737	-0.0184	-0.0103	0.0266	-0.0085	0.0285	0.0189	0.0107
44.2468	-0.0812	0.1869	0.1310	-0.0547	-0.0145	-0.1184	0.2536	0.0496	0.0331	-0.0434	0.0275	0.0018	-0.1101	-0.0006
46.1187	-0.0316	0.0449	0.1369	0.0169	0.0995	0.0584	-0.0912	0.0762	0.0025	-0.0109	0.0154	-0.0192	-0.1470	-0.1217
47.8994	-0.0525	-0.1473	0.0985	0.0091	0.0317	0.1399	0.1686	0.0004	-0.0019	-0.0441	-0.0405	-0.0460	-0.0294	0.1548
49.6743	-0.0505	0.0002	0.0768	0.0000	-0.0940	0.2141	0.3609	-0.0102	-0.0020	0.0189	0.0094	-0.0015	0.0404	-0.1836
51.3915	0.0203	0.0828	0.0635	0.0143	-0.0638	-0.0340	0.6929	0.0130	0.0084	0.0103	0.0206	0.0031	0.0185	0.1599
53.1563	-0.0896	0.0399	0.0443	0.0131	0.0124	-0.0470	-0.3244	0.0193	0.0413	-0.0001	0.0156	0.0071	0.0048	-0.0854
54.9288	0.0277	-0.0514	0.1374	0.0866	-0.0288	-0.0440	0.3969	-0.0344	0.0218	-0.0137	0.0133	-0.0236	0.0421	-0.1456
56.6883	-0.0623	0.0379	-0.0215	-0.0557	-0.0131	-0.0024	-0.6115	0.0332	0.0071	-0.0445	-0.0160	-0.0304	-0.0330	-0.1020
58.4089	0.0084	-0.0342	0.0068	-0.0556	0.0485	0.0332	-0.8967	-0.0288	-0.0016	-0.0627	0.0544	-0.0071	0.0065	0.0528
60.1739	0.0480	-0.0575	0.0190	-0.0605	0.0017	0.1267	-0.6770	-0.0062	0.0284	-0.0851	0.0234	-0.0294	0.0094	0.3328
61.9406	-0.0732	0.0396	0.0731	-0.0658	-0.0273	0.1688	-0.4164	-0.0006	0.0150	0.0240	0.0079	-0.0070	0.0150	0.0293
63.6971	-0.0394	0.0426	-0.0496	0.0184	0.1307	-0.0944	0.6070	0.0711	0.0470	-0.0006	0.0048	0.0100	0.0613	-0.0694
65.4018	-0.1153	0.1192	-0.1153	-0.0134	-0.0147	0.0081	0.2180	-0.0109	0.0443	-0.0171	-0.0042	0.0191	0.0770	0.0738
67.1573	-0.1914	0.0151	0.0143	0.0294	0.0175	-0.0610	0.4987	0.0292	-0.0064	-0.0238	-0.0302	0.0020	0.0477	0.1001
68.8068	-0.0417	-0.0435	-0.0114	-0.0534	-0.0319	0.3757	-0.1616	0.0124	0.0045	-0.0191	0.0044	0.0029	0.0752	-0.3324
70.4617	-0.0266	0.0357	0.0370	0.0845	0.0064	0.0756	0.3643	0.0125	0.0113	0.0111	-0.0077	-0.0014	0.0106	0.0015
72.2249	-0.0642	-0.0271	-0.0474	-0.0800	0.0385	0.0562	-0.8061	0.0492	0.0500	-0.0278	0.0085	0.0155	-0.0142	0.0560
73.9369	-0.0382	0.1180	-0.0925	0.0337	-0.0139	0.0097	-0.0668	-0.0148	0.0242	-0.0066	0.0267	-0.0326	-0.1344	-0.0146
75.7155	0.0204	-0.0439	-0.0959	-0.1213	-0.0494	-0.1345	-0.4581	0.0124	0.0386	-0.0206	0.0136	-0.0153	0.0509	-0.1322
77.4189	-0.1741	0.0486	0.1856	-0.0919	-0.1136	0.1558	-0.6999	0.0329	0.0391	-0.0110	-0.0196	0.0033	0.0156	-0.1611
79.2032	-0.0243	0.1071	0.0220	-0.0381	0.0203	-0.1050	-0.0699	0.0547	-0.0086	-0.0010	-0.0209	0.0024	-0.0205	0.1206
80.9754	-0.0207	-0.1319	-0.0131	0.0616	-0.0240	-0.0285	-0.3069	0.0318	-0.0204	-0.0382	-0.0010	-0.0243	-0.0204	-0.0422
82.7306	-0.1201	0.0057	0.0083	0.0004	0.0012	-0.0166	0.0997	0.1114	0.0213	-0.0107	-0.0029	0.0087	0.0426	-0.2088
84.5128	-0.0220	-0.1282	-0.0278	-0.0295	-0.0141	0.1322	-0.1462	0.0576	0.0732	-0.0594	0.0349	0.0089	-0.0192	-0.2671
86.2669	-0.0922	-0.0073	-0.0518	-0.0468	0.0690	0.1011	0.0456	0.0447	0.0693	0.0071	-0.0126	-0.0400	-0.0293	0.0976
88.0106	-0.0447	0.0617	-0.0740	-0.0465	0.0617	-0.0080	-0.1993	0.0201	0.0387	-0.0837	-0.0178	-0.0054	-0.0781	0.0424
89.7653	-0.0663	0.0464	-0.0223	-0.0209	-0.0015	0.0449	-0.1736	0.0012	0.0060	-0.0194	-0.0041	-0.0203	0.0675	-0.0175
91.5152	-0.0916	0.0205	-0.0428	0.0159	-0.0088	0.1370	-0.3815	0.0197	0.0238	-0.0086	-0.0015	0.0012	-0.1740	-0.1033
93.2511	0.0468	-0.0111	-0.1269	-0.1031	-0.0297	0.2620	-0.0419	0.0320	0.0294	0.0114	0.0068	-0.0091	-0.1166	0.0257
95.0067	-0.2061	0.1255	-0.0353	0.1123	-0.0130	0.0975	-0.1630	0.0128	0.0154	-0.0298	0.0207	-0.0181	-0.0837	0.2308
96.7268	-0.1349	0.1398	0.0307	0.0815	0.0176	0.0564	0.5037	0.0310	-0.0004	-0.0401	0.0122	0.0202	-0.0745	-0.0476
98.4269	0.0207	0.2674	-0.0052	0.0268	-0.0146	-0.0734	-0.0947	0.0672	0.0390	-0.0033	0.0242	0.0164	-0.0395	0.1058
100.2008	-0.0859	-0.0726	0.0226	-0.0351	0.0512	0.2323	-0.1818	-0.0036	0.0142	-0.0101	0.0530	0.0174	0.0389	-0.2462
101.9572	-0.0228	0.0126	-0.0268	-0.0406	0.0095	0.0865	0.0678	0.0541	-0.0233	-0.0213	-0.0241	-0.0041	-0.0585	0.1748
103.5576	-0.0874	0.0271	0.0676	-0.0940	0.0320	0.4540	-0.2477	0.0368	0.0146	-0.0055	0.0312	-0.0050	-0.0039	0.0916
105.2911	-0.1565	0.0109	0.1055	-0.0293	-0.0072	0.1803	-0.1686	0.0433	-0.0193	-0.0571	0.0187	-0.0030	-0.1030	-0.1547
107.0434	-0.0718	0.0045	0.0771	-0.0706	0.0254	0.1566	-0.1417	0.0290	0.0704	0.0210	0.0616	-0.0068	0.0351	-0.3095
108.7708	-0.1428	-0.0204	0.0262	-0.0371	-0.0023	0.2035	0.5918	0.0692	0.0261	0.0112	0.0118	-0.0086	-0.0272	0.2411
110.5169	-0.1209	-0.0287	-0.0359	-0.0325	0.0015	0.1992	-0.5751	-0.0323	0.0179	-0.0308	-0.0145	-0.0054	0.0583	-0.0560
112.2588	-0.0349	-0.1062	0.0280	0.0632	-0.0230	-0.1052	0.0042	0.0379	0.0187	-0.0269	-0.0122	0.0123	-0.1339	0.1745
113.9812	-0.0856	-0.0367	-0.0270	0.0682	-0.0446	-0.0311	0.4080	0.0133	-0.0364	0.0174	-0.0092	0.0080	-0.0286	-0.2573
115.7151	-0.0175	-0.0288	-0.0330	0.0101	0.0193	-0.0256	0.2509	0.0675	0.0340	-0.0031	0.0165	-0.0039	-0.0214	-0.0990
117.4442	-0.0060	-0.0498	0.0683	-0.0940	0.0901	-0.3358	-0.1648	0.0601	0.0385	-0.0535	0.0564	-0.0338	-0.0142	-0.1745
119.2287	0.0360	0.1121	0.0188	0.0750	-0.0175	0.0548	0.7817	0.0205	-0.0232	-0.0366	0.0208	0.0005	0.0588	-0.0060
120.9222	-0.0294	0.0661	0.0254	-0.0101	-0.0192	0.0812	0.0672	0.0781	0.0924	0.0059	0.0185	0.0083	-0.0333	0.0684
122.6894	0.0136	-0.1670	-0.0020	0.1060	0.0091	0.0095	-0.2869	0.0491	0.0420	-0.0322	0.0050	-0.0186	0.0074	0.1169
124.4425	-0.1364	0.1211	0.0252	0.0258	0.0231	-0.1889	0.0616	0.0596	0.0895	0.0009	0.0416	0.0045	-0.0524	-0.0966
126.2184	-0.1896	0.1680	0.0043	-0.0433	0.0451	-0.0227	0.2106	0.0244	0.0367	-0.0463	0.0247	-0.0156	0.0172	-0.0129
127.9588	-0.0337	-0.0524	0.0755	0.0098	-0.0947	-0.0075	0.1651	0.0432	0.0423	0.0285	0.0267	-0.0192	-0.0362	0.0656
129.7578	-0.1115	0.0914	0.0496	-0.0461	-0.0330	-0.0501	-0.2019	0.0548	-0.0061	-0.0247	-0.0204	-0.0056	0.0762	-0.2162
131.4907	-0.1262	0.0303	0.0145	-0.0477	-0.0896	-0.1034	0.4157	0.0065	0.1045	-0.0248	0.0091	0.0041	-0.0858	-0.0483
133.2413	-0.0321	0.0831	0.0713	-0.0015	0.0318	0.2599	-0.0728	0.0258	0.0055	-0.0218	-0.0195	0.0039	0.0548	-0.1210
134.9746	-0.0278	0.1073	-0.0524	0.0586	0.0021	0.0816	-0.1439	0.0521	0.0206	-0.0057	-0.0028	-0.0173	0.1167	-0.3127
136.7767	-0.0991	0.0328	0.0031	0.0425	0.0359	-0.2887	0.7845	0.0610	0.0034	0.0207	-0.0271	0.0117	0.0243	-0.0895
138.4908	-0.2284	-0.0256	0.1196	0.0367	0.0343	0.0718	-0.2427	0.0869	0.0076	-0.0082	0.0001	0.0019	0.0131	0.0396
