Time_s,Time_min,f1_Hz,f3_Hz,f5_Hz,f7_Hz,f9_Hz,f11_Hz,f13_Hz,D3_ppm,D5_ppm,D7_ppm,D9_ppm,D11_ppm,D13_ppm
0,0,-0.009,-0.071,0.0906,0.0472,0.003,-0.0735,-0.1168,-0.0281,0.0269,-0.0038,-0.006,0.0043,0.0739
0.8822,0.014703333,0.0754,0.0397,-0.0122,0.1433,-0.0172,-0.0181,0.0387,-0.0122,0.0047,-0.0099,-0.0251,0.0588,0.1172
1.7684,0.029473333,-0.0705,-0.0368,0.0627,0.0177,0.0209,-0.1806,0.1112,0.0023,0.0206,-0.0212,-0.0038,0.0539,-0.1947
2.6532,0.04422,0.0733,0.0411,-0.0592,-0.0041,-0.005,0.0641,0.1059,-0.0212,-0.002,-0.0265,-0.0057,-0.0424,0.0373
3.5442,0.05907,0.1135,-0.0336,0.045,0.0329,-0.0066,-0.143,0.0723,-0.0258,-0.0189,0.0099,-0.0016,-0.0709,-0.0521
4.458,0.0743,-0.0461,-0.0259,0.0192,-0.0565,0.0084,-0.016,-0.2559,-0.0277,-0.0347,0.0109,-0.0155,-0.0245,-0.0545
5.3662,0.089436667,0.0466,-0.0105,0.0973,0.0431,0.0895,0.203,-0.0801,0.0382,0.012,0.0125,0.0061,-0.0379,0.1088
6.2603,0.104338333,-0.0091,0.1002,0.0471,0.0232,0.0361,0.145,0.027,0.0145,-0.0195,-0.018,0.0237,0.0432,0.0758
7.1423,0.119038333,0.051,0.0228,0.0031,0.0799,0.0124,0.1151,-0.1381,0.0108,-0.046,0.01,0.0099,0.0173,0.0147
8.0533,0.134221667,-0.0176,-0.1003,0.0109,0.0223,0.0803,-0.04,-0.0441,0.0172,0.0039,0.0219,0.007,-0.0386,-0.122
8.9463,0.149105,0.1325,0.0639,0.121,0.0482,0.014,0.2002,-0.0283,-0.0292,-0.0372,-0.0128,0.0032,0.0081,-0.1944
9.7976,0.163293333,-0.1807,-0.1031,-0.0262,-0.0402,0.0078,-0.0037,0.3019,0.0373,-0.0204,-0.0185,-0.021,0.0528,0.1436
10.6106,0.176843333,0.0275,0.0571,-0.0861,0.0697,-0.0302,-0.1178,0.059,-0.0203,-0.0039,0.0125,-0.0114,0.0156,0.0541
11.4306,0.19051,0.0074,0.0149,-0.1031,-0.0675,-0.0359,-0.1489,-0.2218,0.0093,0.0305,0.0141,0.0231,0.0409,0.0684
12.3175,0.205291667,0.0359,0.0212,-0.0005,-0.022,-0.0085,0.1247,0.1165,-0.0307,0.0027,0.0005,-0.0092,-0.0437,0.0067
13.172,0.219533333,-0.0186,0.0976,-0.0494,-0.0373,0.0043,0.0132,-0.2072,0.0093,-0.0242,0.0087,0.0136,0.0035,0.1094
14.0038,0.233396667,-0.0169,0.0097,-0.108,-0.0687,-0.0641,-0.12,0.3104,-0.0043,0.007,0.023,0.0164,-0.0037,-0.0568
14.8394,0.247323333,-0.0688,-0.0449,-0.0641,-0.0684,-0.0078,0.1456,-0.1692,0.0315,0.0339,-0.0009,0.0327,-0.0617,-0.1531
15.685,0.261416667,-0.0445,-0.0701,0.0268,-0.0259,-0.0718,-0.009,-0.2679,-0.0236,0.019,-0.0118,-0.0269,0.058,-0.0795
16.5286,0.275476667,0.0118,0.0151,-0.0252,-0.0513,-0.0272,-0.0741,0.1451,0.0402,0.0113,0.0153,-0.0015,-0.0578,-0.0499
17.3818,0.289696667,-0.093,0.0132,0.0104,-0.0855,-0.0023,-0.0662,0.2416,0.0126,0.0343,-0.0159,-0.0078,0.0248,0.147
18.2598,0.30433,0.0482,0.004,-0.1092,-0.0539,0.0796,-0.0118,-0.0774,0.0305,-0.0049,0.0104,0.011,0.0287,0.1049
19.1693,0.319488333,0.0818,-0.0541,-0.135,-0.0695,-0.0206,-0.025,0.0754,-0.0109,-0.0205,0.0353,0.0328,-0.0242,0.1488
20.0743,0.334571667,-0.0319,0.0223,0.0449,-0.0291,-0.0591,-0.1045,-0.3372,-0.023,-0.0114,0.0155,0.0139,0.0036,-0.0945
20.9335,0.348891667,0.0544,-0.0644,0.0147,0.0169,0.0418,-0.0872,0.2607,0.0505,0.0335,-0.0146,0.0283,0.0038,-0.021
21.8232,0.36372,0.0776,-0.0769,-0.0825,-0.0341,-0.13,-0.1087,-0.1889,0.1327,0.0379,-0.0177,0.0091,0.021,-0.0352
22.7267,0.378778333,-0.0374,0.011,0.1564,-0.0309,-0.0328,-0.0596,-0.0329,0.032,-0.0024,0.0482,0.018,0.0646,-0.045
23.6374,0.393956667,0.0651,-0.1404,-0.0967,-0.0463,-0.0838,-0.0893,-0.2852,-0.0132,-0.0202,0.0376,-0.0137,0.0144,-0.0083
24.5094,0.40849,0.0461,0.0561,-0.0938,-0.003,-0.017,-0.1552,0.5006,0.0436,-0.0246,-0.0056,-0.0178,0.0006,0.1707
25.3937,0.423228333,0.1,-0.0153,0.0323,0.0023,-0.0194,-0.204,-0.208,0.0031,0.0217,0.0293,-0.003,-0.023,0.1326
26.2687,0.437811667,0.0399,-0.0246,-0.14,-0.0606,0.0199,-0.0843,-0.008,0.0582,0.0137,0.0275,0.0114,0.118,0.0741
27.1547,0.452578333,-0.0732,0.0352,-0.1452,-0.0009,-0.0803,-0.0746,-0.1881,0.0318,0.0144,0.0005,0.0228,-0.0328,0.0476
27.9982,0.466636667,0.0149,0.1464,-0.0337,-0.0139,0.0731,0.0268,0.2777,0.004,0.0006,0.0179,0.0359,0.0145,0.0133
28.8633,0.481055,-0.0261,-0.0515,-0.1429,-0.072,-0.0874,-0.0366,-0.0025,0.02,0.0257,0.0035,0.007,0.0002,0.0873
29.7648,0.49608,0.1045,-0.1984,-0.0257,-0.0537,-0.0363,-0.0445,0.0023,0.0423,0.0464,0.0193,0.0256,0.0033,0.1648
30.6638,0.511063333,0.0371,-0.0546,-0.1369,-0.0626,-0.0626,0.1949,-0.5678,0.0135,0.0016,-0.0062,0.0369,-0.0067,-0.074
31.5421,0.525701667,0.011,-0.1225,-0.0657,-0.1227,-0.0829,0.0628,-0.161,0.0463,0.0276,0.0145,0.0394,-0.0651,0.0179
32.4362,0.540603333,0.0609,-0.0697,-0.0557,-0.1237,-0.0171,-0.2894,0.0966,-0.0255,0.0364,0.0006,0.0472,0.0023,0.1729
33.3894,0.55649,0.0041,-0.0414,-0.0354,-0.1764,-0.0568,-0.1037,-0.2578,0.0377,0.0248,0.0355,0.0311,0.0683,0.1141
34.2036,0.57006,0.061,-0.0635,0.0571,-0.1031,-0.135,-0.0651,-0.991,0.0056,0.0407,0.0059,0.0382,0.0428,-0.0077
35.082,0.5847,-0.0173,-0.0429,-0.0486,-0.0344,-0.092,-0.1213,-0.2462,0.0541,0.0467,0.0343,-0.0206,0.0332,0.0821
35.9115,0.598525,-0.0266,0.0083,0.0035,-0.0332,-0.1079,-0.1019,0.038,0.1064,0.0143,-0.0029,0.0189,-0.0126,-0.0088
36.8173,0.613621667,0.0771,-0.0713,-0.0649,-0.0261,-0.0255,0.0121,-0.195,0.1075,0.022,-0.0245,0.0399,-0.0044,0.046
37.6948,0.628246667,-0.0381,-0.1091,-0.0843,-0.0514,0.0027,-0.0092,-0.2891,0.0502,-0.0171,0.0469,0.0266,-0.0238,0.0427
38.5799,0.642998333,-0.0652,-0.1912,-0.0455,-0.089,-0.0966,0.0905,-0.4275,0.0146,0.0205,0.0142,0.0472,-0.0214,0.3053
39.4555,0.657591667,0.0203,-0.122,-0.1675,-0.0954,-0.095,-0.1516,-0.1566,0.0988,0.039,0.0221,0.0257,0.0286,-0.047
40.3616,0.672693333,0.1181,-0.0383,-0.1352,-0.1211,-0.0672,-0.1276,-0.3481,0.0524,0.013,-0.0081,0.0157,-0.0305,-0.1044
41.2402,0.687336667,0.0904,-0.0916,-0.0202,-0.0611,-0.0361,-0.1411,-0.4915,0.0752,0.0497,0.012,0.0186,0.0175,-0.0285
42.0767,0.701278333,-0.1396,-0.1623,-0.1674,-0.1193,-0.0947,-0.0276,-0.1844,0.0568,0.0074,-0.009,0.0227,-0.0219,-0.0468
42.9072,0.71512,-0.019,-0.0998,0.0418,-0.1027,-0.1099,-0.0546,-0.253,0.057,0.0453,0.0276,0.0266,0.0565,-0.0197
43.7885,0.729808333,0.0394,-0.0693,-0.0999,-0.1269,-0.0646,-0.2073,0.1469,0.073,0.0634,0.0284,0.0445,0.0103,0.0825
44.4643,0.741071667,0.0446,-0.1495,-0.0358,-0.0819,-0.0397,-0.1754,-0.0338,0.0863,-0.0086,0.0496,0.0252,0.0084,0.0138
45.3601,0.756001667,-0.0394,-0.0801,-0.1159,-0.1405,-0.0756,-0.1733,-0.2847,-0.0063,0.0499,0.0221,0.011,-0.0146,-0.0316
46.2282,0.77047,0.0895,-0.1937,-0.0763,-0.0956,-0.0573,-0.0674,-0.4454,0.0148,0.0243,0.0536,0.0294,-0.0011,-0.0419
