Time_s,Time_min,f1_Hz,f3_Hz,f5_Hz,f7_Hz,f9_Hz,f11_Hz,f13_Hz,D3_ppm,D5_ppm,D7_ppm,D9_ppm,D11_ppm,D13_ppm
0,0,0.2842,0.0079,0.2753,-0.0241,0.026,0.132,0.0669,-0.0134,-0.0094,0.0288,-0.0131,0.0013,0.028
1.3016,0.021693333,-0.0354,-0.0347,0.0794,0.0218,-0.0229,0.0912,-0.0542,0.0186,0.044,-0.0175,-0.0132,-0.0153,0.0897
2.6216,0.043693333,0.0646,0.0003,-0.0372,0.0228,0.0181,-0.1573,0.121,-0.0069,-0.0143,0.0425,-0.015,-0.0825,0.0586
3.9703,0.066171667,-0.0368,-0.1204,0.0247,-0.0112,0.0488,0.0153,0.1001,0.0126,0.01,-0.0204,-0.0131,0.035,-0.1562
5.298,0.0883,0.2042,-0.0173,-0.0892,0.0239,0.0398,0.145,-0.3785,-0.0614,-0.0237,-0.0152,-0.0228,-0.0033,0.0049
6.6175,0.110291667,0.0591,0.145,-0.0197,0.0001,-0.0267,-0.115,-0.0555,-0.0414,0.0234,-0.0005,-0.0282,-0.036,-0.1239
7.96,0.132666667,-0.0647,0.0388,-0.0066,0.0562,-0.0087,-0.3208,-0.0479,-0.0028,0.018,0.0206,0.0183,0.0087,-0.0473
9.296,0.154933333,-0.0584,-0.0197,0.0607,0.0143,-0.0343,0.0706,-0.4014,0.0298,0.0323,-0.0057,-0.013,0.0171,0.0102
10.65,0.1775,0.0266,-0.0745,-0.0587,-0.0727,0.0309,0.1082,-0.1008,0.0071,-0.0295,-0.0188,-0.0022,0.0567,0.0137
11.962,0.199366667,-0.0216,-0.0477,0.0534,-0.0077,0.0105,-0.0207,0.0594,0.005,0.0452,-0.0261,0.0005,0.0416,-0.0504
13.294,0.221566667,-0.0459,0.0224,-0.0215,0.0206,-0.0146,-0.2143,-0.3938,0.0721,0.021,-0.001,0.0005,0.0351,-0.0085
14.64,0.244,-0.1084,-0.0141,-0.0547,0.0182,0.052,0.0314,0.0013,0.0184,-0.0101,0.0046,-0.0056,0.0088,-0.0337
15.972,0.2662,0.1117,0.1066,-0.022,-0.005,0.0499,0.0134,-0.4585,0.0432,-0.0159,-0.0093,0.0195,0.053,-0.0748
17.3039,0.288398333,-0.0618,0.0706,-0.017,0.013,-0.0539,0.0103,0.5886,-0.0141,-0.0575,0.0001,0.0081,-0.0717,0.079
18.6659,0.311098333,-0.0998,-0.0679,0.0008,0.0453,-0.0444,-0.0149,0.5,-0.0048,0.0175,-0.0265,0.0241,0.0187,0.2345
19.9943,0.333238333,-0.2314,0.0053,-0.0584,0.013,0.0068,0.1007,0.5615,-0.0276,0.0259,0.0044,-0.0063,-0.0459,0.0285
21.2964,0.35494,0.2082,0.1007,-0.0716,-0.0732,-0.0162,0.0975,0.1467,0.0257,-0.0441,0.013,0.0132,0.0031,-0.0724
22.6449,0.377415,-0.0622,-0.0904,-0.0762,-0.0343,0.0665,-0.0055,0.3759,0.0086,-0.0182,-0.003,0.0029,-0.0231,0.0969
23.9604,0.39934,-0.0663,0.0428,0.0242,0.0213,-0.0291,0.0903,0.0157,-0.039,0.001,0.0094,0.0025,0.0257,0.0139
25.2605,0.421008333,-0.1746,-0.0023,-0.0193,0.0108,-0.0761,-0.0037,-0.6018,-0.0122,-0.02,0.0089,0.0367,-0.0039,0.0429
26.5821,0.443035,0.1088,-0.0511,0.0335,-0.0532,-0.0224,-0.0539,-0.0447,-0.0174,0.0046,0.0118,0.0061,-0.0232,-0.1336
27.9064,0.465106667,-0.045,0.0166,-0.0437,-0.0055,-0.0259,0.0235,-0.4964,-0.0035,0.0054,-0.005,0.015,0.0213,-0.0164
29.2448,0.487413333,-0.1374,-0.0487,-0.0112,0.019,-0.0311,-0.0235,0.0724,0.0246,-0.0108,-0.006,-0.0008,-0.0342,0.0914
30.5987,0.509978333,-0.2028,-0.0451,-0.1652,-0.0018,0.0162,0.0429,0.4414,-0.0184,-0.0078,0.0025,0.0383,-0.0015,0.1464
31.9307,0.532178333,-0.0649,-0.1477,0.0018,-0.0299,0.0162,0.2531,-0.4685,0.0335,-0.0085,0.026,0.0093,-0.0159,0.071
33.2725,0.554541667,-0.1208,-0.0573,-0.0452,-0.0857,-0.0187,-0.0013,-0.0066,0.0754,0.0293,0.0083,0.0045,-0.0021,0.1415
34.612,0.576866667,-0.0083,-0.2238,-0.0966,-0.0348,0.0476,0.1259,-0.0615,0.0027,-0.025,0.0357,0.0168,0.077,0.1961
35.9456,0.599093333,-0.2447,-0.19,-0.0586,0.0445,0.0101,0.053,-0.0381,0.007,-0.0076,0.0097,0.0166,0.0272,-0.0387
37.2759,0.621265,-0.0426,-0.125,-0.0076,-0.0908,0.0061,0.1295,-0.0281,-0.049,0.0034,0.014,0.0122,-0.0603,-0.0106
38.5659,0.642765,-0.1702,-0.1542,-0.1643,-0.0798,-0.0352,-0.1735,0.195,0.0528,0.0225,0.0282,0.0234,-0.0113,-0.0898
39.9275,0.665458333,-0.2431,-0.088,-0.0412,-0.0554,-0.0704,0.1357,0.0079,0.0508,0.0476,0.0009,0.0336,0.0114,0.0506
41.2448,0.687413333,-0.1961,-0.0844,-0.1014,-0.108,0.0037,-0.0105,0.2203,-0.024,-0.0607,0.0019,-0.0007,0.0994,0.0005
42.5813,0.709688333,0.0779,-0.0029,-0.0063,0.0531,0.0152,-0.0104,-0.4166,-0.0322,0.0175,0.0135,0.0303,0.0006,-0.1181
43.9425,0.732375,-0.1997,-0.0475,-0.0303,0.0253,-0.0019,-0.0487,0.4381,0.0054,0.0135,0.023,0.0132,0.0197,0.0093
45.2644,0.754406667,-0.1624,-0.2195,-0.0629,-0.0602,-0.0675,0.1889,0.1106,0.031,-0.005,0.01,0.0025,0.0386,-0.033
46.5872,0.776453333,-0.2118,-0.1382,-0.0611,-0.0442,0.0326,-0.103,0.0079,-0.0308,0.0358,0.0301,0.0109,0.0425,-0.1978
47.9178,0.79863,-0.0291,-0.1725,-0.0705,0.0493,-0.0234,0.1498,-0.6091,0.0356,0.0405,0.0236,0.0314,0.0421,0.1504
49.2125,0.820208333,-0.101,-0.204,-0.1226,-0.1092,-0.087,-0.0156,-0.2292,-0.0497,-0.0143,0.0116,0.0168,-0.0383,0.2402
50.5653,0.842755,-0.2414,-0.1275,-0.0495,-0.0073,-0.0605,-0.1535,0.281,0.0516,0.0271,0.0269,0.0005,0.0429,0.0173
51.8963,0.864938333,-0.2557,-0.1553,0.0199,-0.1226,-0.0769,0.1401,-0.0068,0.0222,0.0484,0.0097,0.0214,-0.0006,0.2412
53.2328,0.887213333,-0.1053,-0.0442,-0.131,-0.1414,-0.1193,0.0501,0.0259,-0.0334,0.0083,0.0114,0.0112,0.0421,-0.0891
54.6018,0.91003,-0.213,-0.1343,-0.1843,-0.0734,-0.0825,0.0529,0.5208,-0.0017,0.0542,-0.0201,-0.0179,-0.07,-0.0121
55.9387,0.932311667,-0.0516,-0.1658,0.035,-0.0642,0.0076,-0.1172,-0.1638,0.0608,0.0232,0.0185,0.0244,0.0179,0.0912
57.1494,0.95249,-0.3228,-0.2026,-0.0489,-0.0542,0.0582,0.0215,0.2462,0.0452,0.0261,0.0261,0.0291,0.0505,0.092
58.4086,0.973476667,0.0064,-0.09,-0.1551,-0.0711,-0.0689,0.2174,-0.0368,0.0057,-0.0103,0.0034,0.0224,0.0371,0.1289
59.7122,0.995203333,-0.1197,-0.2632,-0.1165,-0.0982,-0.0965,0.2328,-0.1767,0.0517,-0.0096,-0.0022,0.0151,-0.0226,0.0056
61.0225,1.017041667,-0.1468,-0.2377,-0.1488,0.0453,-0.08,-0.1035,-0.2301,0.0881,-0.0159,0.0367,0.0111,-0.0071,-0.0095
