Nr;TotalArea;Area;DeltaArea;DeltaMolecules;Pressure;Tension;Mode;Time;Temp;Potential;Radioactivity;area_mols
1;16361.8;596.609;-11818.4;-19.6671;37.5476;34.5524;2;0.68;22.5642;-2499.87;0.0;596.609
2;16262.3;592.982;-21766.8;-36.2225;37.5674;34.5326;2;1.25;22.5524;-2499.88;0.0;592.982
3;16170.0;589.613;-31004.7;-51.5955;37.6164;34.4836;2;1.78;22.5654;-2499.84;0.0;589.613
4;16084.3;586.49;-39569.2;-65.8479;37.7154;34.3846;2;2.27;22.5642;-2499.86;0.0;586.491
5;16005.8;583.627;-47423.2;-78.9179;37.7802;34.3198;2;2.72;22.5635;-2499.85;0.0;583.627
6;15934.0;581.008;-54604.0;-90.8675;37.8726;34.2274;2;3.13;22.5474;-2499.86;0.0;581.008
7;15865.9;578.526;-61410.7;-102.195;37.9293;34.1707;2;3.52;22.5451;-2499.85;0.0;578.526
8;15803.1;576.235;-67693.9;-112.651;38.0075;34.0925;2;3.88;22.5497;-2499.88;0.0;576.235
9;15746.6;574.176;-73341.4;-122.049;38.0544;34.0456;2;4.2;22.5669;-2499.87;0.0;574.176
10;15690.9;572.144;-78914.1;-131.322;38.1144;33.9856;2;4.52;22.5639;-2499.85;0.0;572.144
11;15638.9;570.248;-84112.5;-139.973;38.1648;33.9352;2;4.82;22.5719;-2499.87;0.0;570.248
12;15591.4;568.516;-88862.4;-147.878;38.2169;33.8831;2;5.09;22.5604;-2499.85;0.0;568.516
13;15544.3;566.798;-93574.8;-155.72;38.2784;33.8216;2;5.36;22.5738;-2499.86;0.0;566.798
14;15500.9;565.216;-97913.2;-162.939;38.3152;33.7848;2;5.61;22.5505;-2499.86;0.0;565.216
15;15460.8;563.757;-101915.0;-169.599;38.3826;33.7174;2;5.84;22.5562;-2499.83;0.0;563.757
16;15420.8;562.298;-105917.0;-176.258;38.4166;33.6834;2;6.07;22.5524;-2499.84;0.0;562.298
17;15382.3;560.893;-109769.0;-182.669;38.4653;33.6347;2;6.29;22.5455;-2499.88;0.0;560.893
18;15344.2;559.502;-113584.0;-189.017;38.5093;33.5907;2;6.51;22.5512;-2499.87;0.0;559.502
19;15305.6;558.098;-117436.0;-195.427;38.5456;33.5544;2;6.73;22.5539;-2499.87;0.0;558.098
20;15267.1;556.693;-121288.0;-201.838;38.5892;33.5108;2;6.95;22.5566;-2499.86;0.0;556.693
21;15228.2;555.275;-125178.0;-208.311;38.6218;33.4782;2;7.17;22.5608;-2499.85;0.0;555.275
22;15184.5;553.679;-129554.0;-215.593;38.6702;33.4298;2;7.42;22.562;-2499.87;0.0;553.679
23;15145.9;552.274;-133406.0;-222.003;38.7105;33.3895;2;7.64;22.5577;-2499.87;0.0;552.274
24;15107.8;550.883;-137221.0;-228.351;38.7541;33.3459;2;7.86;22.5566;-2499.84;0.0;550.883
25;15069.3;549.479;-141073.0;-234.762;38.7968;33.3032;2;8.08;22.5593;-2499.87;0.0;549.479
26;15029.3;548.02;-145075.0;-241.421;38.8365;33.2635;2;8.31;22.5608;-2499.88;0.0;548.02
27;14990.4;546.601;-148964.0;-247.894;38.8738;33.2262;2;8.53;22.5482;-2499.85;0.0;546.601
28;14953.7;545.265;-152629.0;-253.993;38.9123;33.1877;2;8.74;22.5616;-2499.87;0.0;545.265
29;14913.7;543.806;-156631.0;-260.653;38.9499;33.1501;2;8.97;22.5581;-2499.86;0.0;543.806
30;14875.2;542.401;-160483.0;-267.063;38.9889;33.1111;2;9.19;22.5474;-2499.88;0.0;542.401
31;14836.6;540.996;-164336.0;-273.474;39.0279;33.0721;2;9.41;22.5524;-2499.87;0.0;540.996
32;14795.9;539.51;-168412.0;-280.258;39.0702;33.0298;2;9.64;22.5478;-2499.88;0.0;539.51
33;14757.4;538.105;-172264.0;-286.668;39.1095;32.9905;2;9.86;22.565;-2499.89;0.0;538.105
34;14717.3;536.646;-176266.0;-293.328;39.1545;32.9455;2;10.09;22.5512;-2499.88;0.0;536.646
35;14678.8;535.241;-180118.0;-299.738;39.1868;32.9132;2;10.31;22.5516;-2499.88;0.0;535.241
36;14640.7;533.85;-183933.0;-306.087;39.2301;32.8699;2;10.53;22.5321;-2499.88;0.0;533.85
37;14602.1;532.446;-187785.0;-312.497;39.2716;32.8284;2;10.75;22.5501;-2499.89;0.0;532.446
38;14565.5;531.109;-191451.0;-318.596;39.3091;32.7909;2;10.96;22.5566;-2499.88;0.0;531.109
39;14527.0;529.705;-195303.0;-325.007;39.3688;32.7312;2;11.18;22.5489;-2499.88;0.0;529.705
40;14488.4;528.3;-199155.0;-331.418;39.3926;32.7074;2;11.4;22.5539;-2499.88;0.0;528.3
41;14450.3;526.909;-202970.0;-337.766;39.4321;32.6679;2;11.62;22.5562;-2499.87;0.0;526.909
42;14411.8;525.504;-206822.0;-344.176;39.48;32.62;2;11.84;22.5551;-2499.85;0.0;525.504
43;14370.3;523.99;-210973.0;-351.085;39.5291;32.5709;2;12.08;22.5616;-2499.86;0.0;523.99
44;14331.7;522.586;-214826.0;-357.495;39.5586;32.5414;2;12.3;22.5551;-2499.85;0.0;522.586
45;14293.2;521.181;-218678.0;-363.906;39.593;32.507;2;12.52;22.5524;-2499.86;0.0;521.181
46;14252.8;519.708;-222717.0;-370.627;39.6521;32.4479;2;12.75;22.5662;-2499.87;0.0;519.708
47;14212.4;518.236;-226756.0;-377.349;39.687;32.413;2;12.98;22.5596;-2499.83;0.0;518.236
48;14172.0;516.763;-230795.0;-384.071;39.7281;32.3719;2;13.21;22.5654;-2499.85;0.0;516.763
49;14131.7;515.29;-234835.0;-390.792;39.7683;32.3317;2;13.44;22.5731;-2499.86;0.0;515.29
50;14093.5;513.899;-238649.0;-397.141;39.8181;32.2819;2;13.66;22.5531;-2499.86;0.0;513.899
51;14054.6;512.481;-242539.0;-403.614;39.8523;32.2477;2;13.88;22.5524;-2499.86;0.0;512.481
52;14018.0;511.144;-246204.0;-409.713;39.8972;32.2028;2;14.09;22.5593;-2499.86;0.0;511.144
53;13979.8;509.753;-250019.0;-416.061;39.9398;32.1602;2;14.31;22.565;-2499.89;0.0;509.753
54;13942.8;508.403;-253722.0;-422.223;39.9839;32.1161;2;14.52;22.57;-2499.88;0.0;508.403
55;13904.6;507.012;-257536.0;-428.571;40.0265;32.0735;2;14.74;22.5665;-2499.85;0.0;507.012
56;13867.2;505.648;-261276.0;-434.795;40.0643;32.0357;2;14.95;22.5692;-2499.86;0.0;505.648
57;13828.7;504.244;-265129.0;-441.206;40.1102;31.9898;2;15.17;22.5669;-2499.86;0.0;504.244
58;13792.1;502.907;-268794.0;-447.305;40.1543;31.9457;2;15.38;22.5665;-2499.89;0.0;502.907
59;13752.0;501.448;-272796.0;-453.964;40.1978;31.9022;2;15.61;22.5547;-2499.88;0.0;501.448
60;13708.3;499.852;-277171.0;-461.246;40.2383;31.8617;2;15.86;22.5424;-2499.88;0.0;499.852
61;13671.6;498.516;-280837.0;-467.345;40.2852;31.8148;2;16.07;22.5397;-2499.87;0.0;498.516
62;13631.6;497.057;-284838.0;-474.005;40.3223;31.7777;2;16.3;22.5616;-2499.86;0.0;497.057
63;13591.6;495.598;-288840.0;-480.664;40.3687;31.7313;2;16.53;22.5604;-2499.87;0.0;495.598
64;13551.6;494.138;-292842.0;-487.324;40.4077;31.6923;2;16.76;22.5681;-2499.87;0.0;494.138
65;13509.7;492.611;-297031.0;-494.294;40.4526;31.6474;2;17.0;22.5707;-2499.89;0.0;492.611
66;13471.2;491.206;-300883.0;-500.705;40.4965;31.6035;2;17.22;22.5646;-2499.91;0.0;491.206
67;13428.9;489.665;-305109.0;-507.738;40.5404;31.5596;2;17.46;22.5677;-2499.89;0.0;489.665
68;13388.9;488.206;-309111.0;-514.397;40.5871;31.5129;2;17.69;22.5742;-2499.88;0.0;488.206
69;13350.7;486.815;-312926.0;-520.745;40.6292;31.4708;2;17.91;22.5631;-2499.9;0.0;486.815
70;13311.8;485.397;-316815.0;-527.218;40.6757;31.4243;2;18.13;22.5596;-2499.9;0.0;485.397
