Nr;TotalArea;Area;DeltaArea;DeltaMolecules;Pressure;Tension;Mode;Time;Temp;Potential;Radioactivity;area_mols
1;16333.0;595.559;-14698.2;-24.4596;37.1691;34.9309;2;0.84;22.5463;-2499.85;0.0;595.559
2;16232.0;591.877;-24796.1;-41.2636;37.1867;34.9133;2;1.42;22.5478;-2499.84;0.0;591.877
3;16140.0;588.523;-33996.6;-56.5743;37.2667;34.8333;2;1.95;22.5551;-2499.85;0.0;588.523
4;16054.0;585.386;-42598.6;-70.8892;37.381;34.719;2;2.44;22.5505;-2499.85;0.0;585.386
5;15975.8;582.536;-50415.1;-83.8967;37.4924;34.6076;2;2.89;22.5428;-2499.83;0.0;582.536
6;15902.2;579.849;-57783.0;-96.1578;37.6078;34.4922;2;3.31;22.5551;-2499.85;0.0;579.849
7;15836.3;577.449;-64365.3;-107.112;37.6968;34.4032;2;3.69;22.5466;-2499.86;0.0;577.449
8;15773.5;575.158;-70648.5;-117.568;37.8057;34.2943;2;4.06;22.5531;-2499.88;0.0;575.158
9;15714.0;572.99;-76595.2;-127.463;37.829;34.271;2;4.39;22.5478;-2499.85;0.0;572.99
10;15654.6;570.821;-82541.8;-137.359;37.9025;34.1975;2;4.73;22.5531;-2499.86;0.0;570.821
11;15604.1;568.98;-87590.8;-145.761;37.9524;34.1476;2;5.02;22.5558;-2499.85;0.0;568.98
12;15555.1;567.194;-92490.2;-153.915;37.9909;34.1091;2;5.3;22.5543;-2499.83;0.0;567.194
13;15508.0;565.475;-97202.6;-161.757;38.0568;34.0432;2;5.57;22.5508;-2499.83;0.0;565.475
14;15463.8;563.866;-101616.0;-169.101;38.0418;34.0582;2;5.82;22.5397;-2499.87;0.0;563.866
15;15424.2;562.421;-105580.0;-175.698;38.1309;33.9691;2;6.05;22.5554;-2499.87;0.0;562.421
16;15385.7;561.016;-109432.0;-182.108;38.1607;33.9393;2;6.27;22.5554;-2499.86;0.0;561.016
17;15345.3;559.543;-113472.0;-188.83;38.1823;33.9177;2;6.5;22.5604;-2499.86;0.0;559.543
18;15306.8;558.138;-117324.0;-195.241;38.2311;33.8689;2;6.72;22.5432;-2499.86;0.0;558.138
19;15267.9;556.72;-121213.0;-201.713;38.2138;33.8862;2;6.94;22.5508;-2499.85;0.0;556.72
20;15229.7;555.329;-125028.0;-208.062;38.2622;33.8378;2;7.16;22.57;-2499.85;0.0;555.329
21;15191.2;553.924;-128880.0;-214.472;38.2639;33.8361;2;7.38;22.5646;-2499.86;0.0;553.924
22;15152.7;552.52;-132733.0;-220.883;38.3279;33.7721;2;7.6;22.5528;-2499.84;0.0;552.52
23;15114.2;551.115;-136585.0;-227.293;38.3665;33.7335;2;7.82;22.5455;-2499.86;0.0;551.115
24;15076.0;549.724;-140400.0;-233.642;38.3753;33.7247;2;8.04;22.5359;-2499.82;0.0;549.724
25;15037.5;548.32;-144252.0;-240.052;38.4228;33.6772;2;8.26;22.5371;-2499.83;0.0;548.32
26;14999.0;546.915;-148104.0;-246.463;38.4285;33.6715;2;8.48;22.5539;-2499.84;0.0;546.915
27;14961.9;545.565;-151807.0;-252.624;38.4675;33.6325;2;8.69;22.547;-2499.87;0.0;545.565
28;14923.4;544.16;-155659.0;-259.035;38.4991;33.6009;2;8.91;22.5405;-2499.86;0.0;544.16
29;14884.5;542.742;-159548.0;-265.507;38.5255;33.5745;2;9.13;22.5497;-2499.87;0.0;542.742
