Nr;TotalArea;Area;DeltaArea;DeltaMolecules;Pressure;Tension;Mode;Time;Temp;Potential;Radioactivity;area_mols
1;16425.0;198.718;-5497.85;-27.5743;33.2502;38.8498;2;0.32;21.6331;-2499.83;0.0;198.718
2;16403.7;198.46;-7629.69;-38.2664;33.2505;38.8495;12;0.94;21.6335;-2499.83;0.0;198.46
3;16304.2;197.257;-17578.0;-88.162;33.2548;38.8452;12;1.51;21.6331;-2499.83;0.0;197.257
4;16211.8;196.139;-26815.8;-134.494;33.2605;38.8395;12;2.04;21.6323;-2499.83;0.0;196.139
5;16126.2;195.103;-35380.4;-177.449;33.2658;38.8342;12;2.53;21.6342;-2499.83;0.0;195.103
6;16047.7;194.153;-43234.4;-216.841;33.2774;38.8226;12;2.98;21.6327;-2499.82;0.0;194.153
7;15974.0;193.261;-50602.1;-253.793;33.297;38.803;12;3.4;21.6296;-2499.82;0.0;193.261
8;15906.3;192.442;-57371.6;-287.745;33.3232;38.7768;12;3.79;21.6285;-2499.82;0.0;192.442
9;15843.1;191.677;-63692.2;-319.446;33.358;38.742;12;4.15;21.63;-2499.82;0.0;191.677
10;15783.6;190.958;-69638.8;-349.271;33.3989;38.701;12;4.49;21.6288;-2499.82;0.0;190.958
11;15729.4;190.302;-75061.7;-376.47;33.4422;38.6578;12;4.8;21.6296;-2499.82;0.0;190.302
12;15677.0;189.668;-80297.9;-402.731;33.4881;38.6119;12;5.1;21.6277;-2499.82;0.0;189.668
13;15630.3;189.103;-84972.8;-426.178;33.545;38.555;12;5.37;21.6262;-2499.82;0.0;189.103
14;15583.1;188.533;-89685.2;-449.813;33.5957;38.5043;12;5.64;21.6242;-2499.82;0.0;188.533
15;15539.4;188.003;-94061.0;-471.76;33.6578;38.4422;12;5.89;21.6258;-2499.82;0.0;188.003
16;15499.0;187.515;-98100.2;-492.018;33.72;38.38;12;6.12;21.6242;-2499.82;0.0;187.515
17;15459.0;187.03;-102102.0;-512.089;33.7844;38.3156;12;6.35;21.6227;-2499.83;0.0;187.03
18;15420.5;186.564;-105954.0;-531.41;33.8503;38.2497;12;6.57;21.6219;-2499.83;0.0;186.564
19;15381.9;186.098;-109806.0;-550.731;33.9165;38.1835;12;6.79;21.6231;-2499.83;0.0;186.098
20;15343.8;185.637;-113621.0;-569.863;33.9911;38.1089;12;7.01;21.6242;-2499.83;0.0;185.637
21;15305.3;185.171;-117473.0;-589.184;34.0642;38.0358;12;7.23;21.6246;-2499.83;0.0;185.171
22;15267.1;184.709;-121288.0;-608.317;34.1416;37.9584;12;7.45;21.6262;-2499.83;0.0;184.709
23;15228.6;184.243;-125140.0;-627.638;34.2187;37.8813;12;7.67;21.6262;-2499.83;0.0;184.243
24;15190.4;183.782;-128955.0;-646.77;34.3027;37.7973;12;7.89;21.6265;-2499.84;0.0;183.782
25;15151.9;183.316;-132807.0;-666.091;34.3826;37.7174;12;8.11;21.6304;-2499.83;0.0;183.316
26;15111.9;182.831;-136809.0;-686.162;34.4673;37.6327;12;8.34;21.6277;-2499.84;0.0;182.831
27;15073.8;182.37;-140624.0;-705.295;34.5519;37.5481;12;8.56;21.6258;-2499.84;0.0;182.37
28;15034.9;181.899;-144514.0;-724.803;34.6383;37.4617;12;8.78;21.6242;-2499.83;0.0;181.899
29;14996.3;181.433;-148366.0;-744.124;34.7279;37.3721;12;9.0;21.6242;-2499.83;0.0;181.433
30;14957.4;180.963;-152255.0;-763.632;34.8189;37.2811;12;9.22;21.6265;-2499.83;0.0;180.963
31;14918.9;180.497;-156108.0;-782.953;34.9118;37.1882;12;9.44;21.6265;-2499.84;0.0;180.497
32;14880.0;180.026;-159997.0;-802.461;35.0049;37.0951;12;9.66;21.6281;-2499.84;0.0;180.026
33;14841.5;179.56;-163849.0;-821.781;35.1001;36.9999;12;9.88;21.6254;-2499.84;0.0;179.56
34;14803.4;179.098;-167664.0;-840.914;35.1966;36.9034;12;10.1;21.6262;-2499.84;0.0;179.098
35;14765.2;178.637;-171479.0;-860.047;35.2945;36.8055;12;10.32;21.6265;-2499.84;0.0;178.637
36;14726.3;178.166;-175369.0;-879.556;35.3934;36.7066;12;10.54;21.6269;-2499.84;0.0;178.166
37;14686.3;177.682;-179370.0;-899.626;35.4925;36.6075;12;10.77;21.6254;-2499.84;0.0;177.682
38;14647.8;177.216;-183223.0;-918.947;35.5933;36.5067;12;10.99;21.6254;-2499.84;0.0;177.216
39;14609.3;176.75;-187075.0;-938.268;35.6951;36.4049;12;11.21;21.6254;-2499.84;0.0;176.75
40;14570.7;176.284;-190927.0;-957.588;35.7978;36.3022;12;11.43;21.625;-2499.84;0.0;176.284
41;14532.6;175.822;-194742.0;-976.721;35.9027;36.1973;12;11.65;21.6238;-2499.84;0.0;175.822
42;14494.1;175.356;-198594.0;-996.041;36.0077;36.0923;12;11.87;21.6227;-2499.84;0.0;175.356
43;14455.5;174.89;-202446.0;-1015.36;36.1153;35.9847;12;12.09;21.6234;-2499.84;0.0;174.89
44;14417.0;174.424;-206298.0;-1034.68;36.2225;35.8775;12;12.31;21.6227;-2499.84;0.0;174.424
45;14378.5;173.958;-210151.0;-1054.0;36.3314;35.7686;12;12.53;21.6219;-2499.84;0.0;173.958
46;14339.6;173.488;-214040.0;-1073.51;36.4416;35.6584;12;12.76;21.6238;-2499.84;0.0;173.488
47;14304.8;173.067;-217518.0;-1090.96;36.552;35.548;12;12.98;21.6242;-2499.84;0.0;173.067
48;14269.7;172.641;-221034.0;-1108.59;36.6644;35.4356;12;13.2;21.6242;-2499.84;0.0;172.641
49;14240.5;172.288;-223951.0;-1123.22;36.7772;35.3228;12;13.42;21.6242;-2499.84;0.0;172.288
50;14214.7;171.976;-226532.0;-1136.16;36.8929;35.2071;12;13.64;21.625;-2499.84;0.0;171.976
51;14190.0;171.678;-229000.0;-1148.54;37.0087;35.0913;12;13.86;21.6223;-2499.84;0.0;171.678
52;14169.8;171.433;-231020.0;-1158.67;37.1273;34.9727;12;14.08;21.6231;-2499.84;0.0;171.433
53;14153.0;171.23;-232703.0;-1167.11;37.2454;34.8546;12;14.3;21.6227;-2499.84;0.0;171.23
54;14138.8;171.058;-234124.0;-1174.24;37.3647;34.7353;12;14.52;21.6242;-2499.84;0.0;171.058
55;14128.3;170.931;-235171.0;-1179.49;37.482;34.618;12;14.74;21.6246;-2499.84;0.0;170.931
56;14118.9;170.818;-236106.0;-1184.18;37.5966;34.5034;12;14.96;21.6242;-2499.84;0.0;170.818
57;14112.6;170.741;-236742.0;-1187.37;37.7075;34.3925;12;15.18;21.6242;-2499.84;0.0;170.741
58;14110.7;170.718;-236929.0;-1188.31;37.8143;34.2857;12;15.4;21.6215;-2499.85;0.0;170.718
59;14109.6;170.705;-237041.0;-1188.87;37.9154;34.1846;12;15.62;21.6231;-2499.85;0.0;170.705
60;14109.6;170.705;-237041.0;-1188.87;38.0102;34.0898;12;15.84;21.6258;-2499.86;0.0;170.705
61;14109.6;170.705;-237041.0;-1188.87;38.0986;34.0014;12;16.06;21.6265;-2499.86;0.0;170.705
62;14109.6;170.705;-237041.0;-1188.87;38.1799;33.9201;12;16.28;21.6273;-2499.86;0.0;170.705
63;14110.7;170.718;-236929.0;-1188.31;38.2539;33.8461;12;16.5;21.6273;-2499.86;0.0;170.718
64;14114.1;170.759;-236592.0;-1186.62;38.3203;33.7797;12;16.72;21.6288;-2499.86;0.0;170.759
65;14120.1;170.831;-235994.0;-1183.62;38.3797;33.7203;12;16.94;21.6277;-2499.86;0.0;170.831
66;14127.2;170.917;-235283.0;-1180.06;38.4327;33.6673;12;17.16;21.6273;-2499.86;0.0;170.917
67;14135.4;171.017;-234461.0;-1175.93;38.4804;33.6196;12;17.38;21.6265;-2499.86;0.0;171.017
68;14144.7;171.13;-233526.0;-1171.24;38.5233;33.5767;12;17.6;21.6262;-2499.86;0.0;171.13
69;14156.0;171.266;-232404.0;-1165.61;38.5613;33.5387;12;17.83;21.6258;-2499.86;0.0;171.266
70;14167.9;171.411;-231207.0;-1159.61;38.5944;33.5056;12;18.05;21.6246;-2499.85;0.0;171.411
71;14180.6;171.565;-229935.0;-1153.23;38.623;33.477;12;18.27;21.6254;-2499.85;0.0;171.565
72;14193.7;171.723;-228626.0;-1146.67;38.647;33.453;12;18.49;21.6262;-2499.85;0.0;171.723
73;14209.1;171.908;-227093.0;-1138.98;38.6651;33.4349;12;18.71;21.6269;-2499.85;0.0;171.908
74;14224.4;172.094;-225559.0;-1131.29;38.6765;33.4235;12;18.93;21.6262;-2499.85;0.0;172.094
75;14240.1;172.284;-223989.0;-1123.41;38.6817;33.4183;12;19.15;21.6269;-2499.85;0.0;172.284
76;14255.4;172.469;-222455.0;-1115.72;38.68;33.42;12;19.37;21.6273;-2499.86;0.0;172.469
77;14270.8;172.655;-220922.0;-1108.03;38.673;33.427;12;19.59;21.6273;-2499.86;0.0;172.655
78;14286.9;172.85;-219314.0;-1099.96;38.6614;33.4386;12;19.82;21.625;-2499.86;0.0;172.85
79;14302.2;173.035;-217780.0;-1092.27;38.6451;33.4549;12;20.04;21.6231;-2499.86;0.0;173.035
80;14317.5;173.221;-216247.0;-1084.58;38.6245;33.4755;12;20.26;21.6231;-2499.86;0.0;173.221
81;14332.9;173.406;-214713.0;-1076.89;38.6005;33.4995;12;20.48;21.6219;-2499.86;0.0;173.406
82;14348.2;173.592;-213180.0;-1069.2;38.5738;33.5262;12;20.7;21.6227;-2499.86;0.0;173.592
83;14363.5;173.777;-211647.0;-1061.51;38.5439;33.5561;12;20.92;21.6242;-2499.86;0.0;173.777
84;14379.2;173.967;-210076.0;-1053.63;38.5116;33.5884;12;21.14;21.6269;-2499.86;0.0;173.967
85;14394.6;174.153;-208542.0;-1045.94;38.4773;33.6227;12;21.36;21.6277;-2499.86;0.0;174.153
86;14409.9;174.338;-207009.0;-1038.25;38.4404;33.6596;12;21.58;21.6262;-2499.87;0.0;174.338
87;14423.7;174.506;-205625.0;-1031.31;38.4014;33.6986;12;21.8;21.6258;-2499.86;0.0;174.506
88;14434.6;174.637;-204541.0;-1025.87;38.3609;33.7391;12;22.02;21.6242;-2499.86;0.0;174.637
89;14459.3;174.936;-202072.0;-1013.49;38.3207;33.7793;12;22.48;21.6242;-2499.86;0.0;174.936
90;14467.9;175.04;-201212.0;-1009.17;38.2799;33.8201;12;22.71;21.625;-2499.87;0.0;175.04
91;14479.1;175.175;-200090.0;-1003.54;38.2396;33.8604;12;22.94;21.6258;-2499.86;0.0;175.175
92;14488.1;175.284;-199192.0;-999.043;38.199;33.901;12;23.17;21.6262;-2499.86;0.0;175.284
93;14497.1;175.393;-198295.0;-994.541;38.1593;33.9407;12;23.4;21.6285;-2499.86;0.0;175.393
94;14505.7;175.497;-197435.0;-990.227;38.1196;33.9804;12;23.63;21.6273;-2499.86;0.0;175.497
95;14510.5;175.555;-196948.0;-987.788;38.0814;34.0186;12;23.86;21.6277;-2499.86;0.0;175.555
96;14514.6;175.605;-196537.0;-985.725;38.0444;34.0556;12;24.09;21.6258;-2499.86;0.0;175.605
97;14517.2;175.637;-196275.0;-984.412;38.009;34.091;12;24.32;21.6258;-2499.85;0.0;175.637
98;14519.1;175.66;-196088.0;-983.473;37.9758;34.1242;12;24.55;21.6258;-2499.86;0.0;175.66
99;14521.0;175.682;-195901.0;-982.536;37.945;34.155;12;24.78;21.6262;-2499.85;0.0;175.682
100;14522.1;175.696;-195789.0;-981.974;37.9166;34.1834;12;25.01;21.6265;-2499.85;0.0;175.696
101;14522.1;175.696;-195789.0;-981.974;37.8905;34.2095;12;25.49;21.625;-2499.85;0.0;175.696
102;14522.1;175.696;-195789.0;-981.974;37.8669;34.2331;12;25.73;21.6258;-2499.86;0.0;175.696
103;14522.1;175.696;-195789.0;-981.974;37.8453;34.2547;12;25.97;21.6242;-2499.86;0.0;175.696
104;14522.1;175.696;-195789.0;-981.974;37.8256;34.2744;12;26.21;21.625;-2499.86;0.0;175.696
105;14522.1;175.696;-195789.0;-981.974;37.8078;34.2922;12;26.45;21.6246;-2499.86;0.0;175.696
106;14522.1;175.696;-195789.0;-981.974;37.7916;34.3084;12;26.69;21.6242;-2499.86;0.0;175.696
107;14522.1;175.696;-195789.0;-981.974;37.7767;34.3233;12;26.93;21.6227;-2499.86;0.0;175.696
108;14521.7;175.691;-195826.0;-982.161;37.7633;34.3367;12;27.18;21.6246;-2499.86;0.0;175.691
109;14519.5;175.664;-196051.0;-983.286;37.7509;34.3491;12;27.42;21.6246;-2499.86;0.0;175.664
110;14517.2;175.637;-196275.0;-984.412;37.7395;34.3605;12;27.66;21.625;-2499.86;0.0;175.637
111;14513.1;175.587;-196687.0;-986.475;37.7291;34.3709;12;27.9;21.625;-2499.86;0.0;175.587
112;14509.0;175.537;-197098.0;-988.539;37.7195;34.3805;12;28.14;21.6258;-2499.86;0.0;175.537
113;14504.2;175.479;-197584.0;-990.977;37.7107;34.3893;12;28.39;21.6234;-2499.86;0.0;175.479
114;14498.9;175.415;-198108.0;-993.603;37.7028;34.3972;12;28.63;21.6242;-2499.86;0.0;175.415
115;14493.3;175.347;-198669.0;-996.417;37.6959;34.4041;12;28.87;21.6238;-2499.86;0.0;175.347
116;14487.0;175.27;-199305.0;-999.606;37.6901;34.4099;12;29.11;21.6246;-2499.86;0.0;175.27
117;14479.8;175.184;-200015.0;-1003.17;37.6852;34.4148;12;29.36;21.6254;-2499.86;0.0;175.184
118;14472.4;175.094;-200763.0;-1006.92;37.6812;34.4188;12;29.6;21.625;-2499.87;0.0;175.094
119;14464.9;175.003;-201511.0;-1010.67;37.6786;34.4214;12;29.84;21.6254;-2499.87;0.0;175.003
120;14457.0;174.908;-202297.0;-1014.61;37.6783;34.4217;12;30.08;21.6262;-2499.86;0.0;174.908
121;14448.4;174.804;-203157.0;-1018.93;37.6798;34.4202;12;30.33;21.6281;-2499.86;0.0;174.804
122;14440.2;174.705;-203980.0;-1023.05;37.6842;34.4158;12;30.57;21.6262;-2499.86;0.0;174.705
123;14431.6;174.601;-204840.0;-1027.37;37.6903;34.4097;12;30.81;21.6265;-2499.86;0.0;174.601
124;14423.4;174.501;-205663.0;-1031.49;37.6979;34.4021;12;31.05;21.6273;-2499.86;0.0;174.501
125;14414.4;174.393;-206560.0;-1036.0;37.7077;34.3923;12;31.3;21.6265;-2499.86;0.0;174.393
126;14406.2;174.293;-207383.0;-1040.12;37.7183;34.3817;12;31.54;21.6281;-2499.86;0.0;174.293
127;14397.9;174.193;-208206.0;-1044.25;37.7305;34.3695;12;31.78;21.6269;-2499.86;0.0;174.193
128;14389.3;174.089;-209066.0;-1048.56;37.7442;34.3558;12;32.02;21.6273;-2499.85;0.0;174.089
129;14380.7;173.985;-209926.0;-1052.88;37.7583;34.3417;12;32.27;21.6281;-2499.85;0.0;173.985
130;14372.5;173.886;-210749.0;-1057.0;37.7737;34.3263;12;32.51;21.6262;-2499.85;0.0;173.886
131;14366.2;173.809;-211385.0;-1060.19;37.7902;34.3098;12;32.75;21.6242;-2499.85;0.0;173.809
132;14356.1;173.687;-212395.0;-1065.26;37.8067;34.2933;12;33.25;21.6242;-2499.85;0.0;173.687
133;14353.8;173.66;-212619.0;-1066.38;37.8226;34.2774;12;33.49;21.6242;-2499.84;0.0;173.66
134;14348.9;173.601;-213105.0;-1068.82;37.839;34.261;12;33.73;21.6258;-2499.84;0.0;173.601
135;14346.7;173.574;-213330.0;-1069.95;37.855;34.245;12;33.97;21.6258;-2499.84;0.0;173.574
136;14341.8;173.515;-213816.0;-1072.39;37.8704;34.2296;12;34.21;21.6246;-2499.85;0.0;173.515
137;14340.7;173.501;-213928.0;-1072.95;37.8848;34.2151;12;34.45;21.625;-2499.85;0.0;173.501
138;14336.6;173.451;-214339.0;-1075.01;37.8983;34.2017;12;34.69;21.6246;-2499.85;0.0;173.451
139;14334.0;173.42;-214601.0;-1076.33;37.9109;34.1891;12;34.93;21.6265;-2499.85;0.0;173.42
140;14332.5;173.402;-214751.0;-1077.08;37.9238;34.1762;12;35.17;21.6269;-2499.85;0.0;173.402
141;14329.9;173.37;-215013.0;-1078.39;37.9363;34.1637;12;35.41;21.6277;-2499.85;0.0;173.37
142;14327.6;173.343;-215237.0;-1079.51;37.9479;34.1521;12;35.65;21.6258;-2499.85;0.0;173.343
143;14325.4;173.316;-215461.0;-1080.64;37.9592;34.1408;12;35.89;21.6254;-2499.85;0.0;173.316
144;14323.1;173.288;-215686.0;-1081.76;37.9699;34.1301;12;36.13;21.6254;-2499.85;0.0;173.288
145;14320.9;173.261;-215910.0;-1082.89;37.9797;34.1203;12;36.37;21.6246;-2499.85;0.0;173.261
146;14319.0;173.239;-216097.0;-1083.83;37.9888;34.1112;12;36.61;21.6246;-2499.85;0.0;173.239
147;14317.5;173.221;-216247.0;-1084.58;37.9973;34.1027;12;36.85;21.6242;-2499.85;0.0;173.221
148;14316.0;173.203;-216396.0;-1085.33;38.0055;34.0945;12;37.1;21.625;-2499.85;0.0;173.202
149;14314.5;173.184;-216546.0;-1086.08;38.0132;34.0868;12;37.34;21.6254;-2499.85;0.0;173.184
150;14313.4;173.171;-216658.0;-1086.64;38.0204;34.0796;12;37.58;21.6254;-2499.85;0.0;173.171
151;14312.7;173.162;-216733.0;-1087.02;38.0272;34.0728;12;37.82;21.6242;-2499.85;0.0;173.162
152;14311.5;173.148;-216845.0;-1087.58;38.0336;34.0664;12;38.06;21.6219;-2499.86;0.0;173.148
153;14310.8;173.139;-216920.0;-1087.96;38.0396;34.0603;12;38.3;21.6223;-2499.85;0.0;173.139
154;14310.8;173.139;-216920.0;-1087.96;38.0452;34.0548;12;38.54;21.6242;-2499.85;0.0;173.139
155;14310.8;173.139;-216920.0;-1087.96;38.0502;34.0498;12;38.78;21.6254;-2499.85;0.0;173.139
156;14310.8;173.139;-216920.0;-1087.96;38.0547;34.0453;12;39.03;21.6246;-2499.85;0.0;173.139
157;14310.8;173.139;-216920.0;-1087.96;38.0586;34.0414;12;39.27;21.6242;-2499.85;0.0;173.139
158;14310.8;173.139;-216920.0;-1087.96;38.0619;34.0381;12;39.51;21.6238;-2499.85;0.0;173.139
159;14310.8;173.139;-216920.0;-1087.96;38.0648;34.0352;12;39.75;21.6246;-2499.85;0.0;173.139
160;14310.8;173.139;-216920.0;-1087.96;38.0675;34.0325;12;40.24;21.6265;-2499.84;0.0;173.139
161;14310.8;173.139;-216920.0;-1087.96;38.0695;34.0305;12;40.49;21.6246;-2499.85;0.0;173.139
162;14310.8;173.139;-216920.0;-1087.96;38.0712;34.0288;12;40.75;21.6242;-2499.84;0.0;173.139
163;14310.8;173.139;-216920.0;-1087.96;38.0727;34.0273;12;41.0;21.6262;-2499.84;0.0;173.139
164;14310.8;173.139;-216920.0;-1087.96;38.0739;34.0261;12;41.24;21.6269;-2499.84;0.0;173.139
165;14310.8;173.139;-216920.0;-1087.96;38.0748;34.0252;12;41.48;21.6265;-2499.84;0.0;173.139
166;14310.8;173.139;-216920.0;-1087.96;38.0755;34.0245;12;41.72;21.6258;-2499.84;0.0;173.139
167;14310.8;173.139;-216920.0;-1087.96;38.076;34.024;12;41.95;21.6254;-2499.84;0.0;173.139
168;14310.8;173.139;-216920.0;-1087.96;38.0764;34.0236;12;42.19;21.6262;-2499.85;0.0;173.139
169;14310.8;173.139;-216920.0;-1087.96;38.0764;34.0236;12;42.43;21.6269;-2499.85;0.0;173.139
170;14310.8;173.139;-216920.0;-1087.96;38.0764;34.0236;12;42.67;21.6246;-2499.85;0.0;173.139
171;14310.8;173.139;-216920.0;-1087.96;38.0762;34.0238;12;42.91;21.6254;-2499.85;0.0;173.139
172;14310.8;173.139;-216920.0;-1087.96;38.0761;34.0239;12;43.15;21.6262;-2499.85;0.0;173.139
173;14310.8;173.139;-216920.0;-1087.96;38.0758;34.0242;12;43.39;21.6277;-2499.85;0.0;173.139
174;14310.8;173.139;-216920.0;-1087.96;38.0754;34.0246;12;43.63;21.6262;-2499.85;0.0;173.139
175;14310.8;173.139;-216920.0;-1087.96;38.075;34.025;12;43.87;21.6258;-2499.85;0.0;173.139
176;14310.8;173.139;-216920.0;-1087.96;38.0746;34.0254;12;44.11;21.6254;-2499.85;0.0;173.139
177;14310.8;173.139;-216920.0;-1087.96;38.074;34.026;12;44.35;21.6277;-2499.85;0.0;173.139
178;14310.8;173.139;-216920.0;-1087.96;38.0735;34.0265;12;44.59;21.6281;-2499.85;0.0;173.139
179;14310.8;173.139;-216920.0;-1087.96;38.0729;34.0271;12;44.83;21.6296;-2499.85;0.0;173.139
