Nr;TotalArea;Area;DeltaArea;DeltaMolecules;Pressure;Tension;Mode;Time;Temp;Potential;Radioactivity;area_mols
1;16398.1;844.14;-8190.63;-9.6547;33.3386;38.7614;2;0.47;20.9227;-2499.84;0.0;844.14
2;16289.3;838.537;-19074.0;-22.4835;33.3424;38.7576;2;1.09;20.9223;-2499.84;0.0;838.537
3;16189.8;833.416;-29022.5;-34.2102;33.3626;38.7374;2;1.66;20.923;-2499.83;0.0;833.416
4;16096.3;828.603;-38372.5;-45.2316;33.4009;38.6991;2;2.19;20.9234;-2499.83;0.0;828.603
5;16010.3;824.175;-46974.4;-55.3711;33.4592;38.6408;2;2.68;20.9254;-2499.83;0.0;824.175
6;15931.3;820.112;-54865.8;-64.6731;33.5317;38.5683;2;3.13;20.9281;-2499.83;0.0;820.112
7;15858.8;816.377;-62121.3;-73.2255;33.6196;38.4804;2;3.55;20.9269;-2499.83;0.0;816.377
8;15792.6;812.969;-68741.2;-81.0287;33.7196;38.3804;2;3.93;20.9254;-2499.83;0.0;812.969
9;15729.8;809.735;-75024.4;-88.4351;33.8294;38.2706;2;4.29;20.9238;-2499.83;0.0;809.735
10;15670.7;806.693;-80933.6;-95.4005;33.9513;38.1487;2;4.63;20.9227;-2499.83;0.0;806.693
11;15614.9;803.824;-86506.3;-101.969;34.0835;38.0165;2;4.95;20.9211;-2499.83;0.0;803.824
12;15564.1;801.206;-91592.7;-107.965;34.2251;37.8749;2;5.24;20.9223;-2499.83;0.0;801.206
13;15514.7;798.665;-96529.4;-113.784;34.375;37.725;2;5.52;20.92;-2499.83;0.0;798.665
14;15473.2;796.528;-100681.0;-118.677;34.5303;37.5697;2;5.78;20.9219;-2499.83;0.0;796.528
15;15434.3;794.525;-104570.0;-123.262;34.6913;37.4087;2;6.03;20.9204;-2499.83;0.0;794.525
16;15406.6;793.101;-107338.0;-126.525;34.8561;37.2439;2;6.27;20.9207;-2499.82;0.0;793.101
17;15381.6;791.811;-109844.0;-129.478;35.0214;37.0786;2;6.49;20.9207;-2499.82;0.0;791.811
18;15356.9;790.54;-112312.0;-132.388;35.1827;36.9173;2;6.71;20.9207;-2499.83;0.0;790.54
19;15332.9;789.308;-114706.0;-135.21;35.3441;36.7559;2;6.93;20.9211;-2499.83;0.0;789.308
20;15313.5;788.307;-116651.0;-137.502;35.4988;36.6012;2;7.15;20.9223;-2499.82;0.0;788.307
21;15296.7;787.44;-118334.0;-139.486;35.6529;36.4471;2;7.37;20.9223;-2499.82;0.0;787.44
22;15281.3;786.651;-119867.0;-141.293;35.7986;36.3014;2;7.59;20.9223;-2499.83;0.0;786.651
23;15270.5;786.093;-120952.0;-142.572;35.9407;36.1593;2;7.81;20.9234;-2499.83;0.0;786.093
24;15258.9;785.496;-122111.0;-143.938;36.0798;36.0202;2;8.03;20.9227;-2499.83;0.0;785.496
25;15248.8;784.976;-123121.0;-145.129;36.2069;35.8931;2;8.26;20.923;-2499.82;0.0;784.976
26;15240.2;784.533;-123981.0;-146.143;36.3283;35.7717;2;8.48;20.9242;-2499.82;0.0;784.533
27;15231.6;784.09;-124841.0;-147.157;36.4356;35.6644;2;8.7;20.9227;-2499.82;0.0;784.09
28;15224.9;783.744;-125514.0;-147.95;36.5356;35.5644;12;8.92;20.9223;-2499.82;0.0;783.744
29;15224.9;783.744;-125514.0;-147.95;36.6283;35.4717;12;9.14;20.9227;-2499.82;0.0;783.744
30;15224.9;783.744;-125514.0;-147.95;36.7077;35.3923;12;9.36;20.9207;-2499.82;0.0;783.744
31;15224.9;783.744;-125514.0;-147.95;36.7832;35.3168;12;9.58;20.9219;-2499.82;0.0;783.744
32;15226.0;783.802;-125402.0;-147.818;36.8434;35.2565;12;9.8;20.9223;-2499.82;0.0;783.802
33;15228.2;783.917;-125178.0;-147.553;36.8996;35.2004;12;10.03;20.9211;-2499.82;0.0;783.917
34;15230.5;784.033;-124953.0;-147.289;36.9442;35.1558;12;10.25;20.9215;-2499.82;0.0;784.033
35;15232.7;784.148;-124729.0;-147.024;36.9817;35.1183;12;10.47;20.9207;-2499.82;0.0;784.148
36;15235.0;784.264;-124505.0;-146.76;37.0175;35.0825;12;10.69;20.9211;-2499.82;0.0;784.264
37;15236.5;784.341;-124355.0;-146.583;37.04;35.06;12;10.91;20.9215;-2499.82;0.0;784.341
38;15237.2;784.379;-124280.0;-146.495;37.06;35.04;12;11.13;20.9211;-2499.82;0.0;784.379
39;15237.9;784.418;-124205.0;-146.407;37.0704;35.0296;12;11.35;20.923;-2499.82;0.0;784.418
40;15238.3;784.437;-124168.0;-146.363;37.0784;35.0216;12;11.57;20.9215;-2499.82;0.0;784.437
41;15238.7;784.456;-124131.0;-146.319;37.0804;35.0196;12;11.79;20.923;-2499.82;0.0;784.456
