Nr;TotalArea;Area;DeltaArea;DeltaMolecules;Pressure;Tension;Mode;Time;Temp;Potential;Radioactivity;area_mols
1;16400.0;3588.0;-8003.52;-2.2198;0.37304;71.727;2;0.67;23.3821;-2499.47;0.0;3588.0
2;16331.1;3572.95;-14885.3;-4.12847;0.373492;71.7265;2;1.24;23.384;-2499.47;0.0;3572.95
3;16267.2;3558.95;-21280.7;-5.90226;0.373689;71.7263;2;1.77;23.3829;-2499.46;0.0;3558.96
4;16207.7;3545.95;-27227.1;-7.55153;0.374015;71.726;2;2.26;23.3825;-2499.47;0.0;3545.95
5;16153.5;3534.08;-32650.2;-9.05563;0.374084;71.7259;2;2.71;23.3814;-2499.48;0.0;3534.08
6;16102.6;3522.95;-37736.5;-10.4663;0.374248;71.7258;2;3.13;23.3821;-2499.49;0.0;3522.95
7;16055.5;3512.64;-42449.0;-11.7734;0.374457;71.7255;2;3.52;23.3825;-2499.48;0.0;3512.64
8;16012.1;3503.15;-46787.3;-12.9766;0.374759;71.7252;2;3.88;23.3817;-2499.47;0.0;3503.15
9;15972.1;3494.4;-50789.2;-14.0865;0.375141;71.7249;2;4.21;23.3825;-2499.46;0.0;3494.4
10;15933.2;3485.89;-54678.8;-15.1653;0.375455;71.7245;2;4.53;23.384;-2499.46;0.0;3485.89
11;15896.9;3477.95;-58306.6;-16.1715;0.376453;71.7235;2;4.83;23.3852;-2499.47;0.0;3477.95
12;15864.4;3470.83;-61560.4;-17.074;0.377613;71.7224;2;5.1;23.3844;-2499.47;0.0;3470.83
13;15831.9;3463.71;-64814.3;-17.9764;0.379005;71.721;2;5.37;23.3852;-2499.46;0.0;3463.71
14;15801.6;3457.08;-67843.7;-18.8166;0.380422;71.7196;2;5.62;23.3844;-2499.46;0.0;3457.08
15;15773.9;3451.03;-70611.2;-19.5842;0.382009;71.718;2;5.85;23.3844;-2499.46;0.0;3451.03
16;15745.8;3444.89;-73416.2;-20.3622;0.383901;71.7161;2;6.08;23.3837;-2499.45;0.0;3444.89
17;15719.3;3439.08;-76071.7;-21.0987;0.386071;71.7139;2;6.3;23.3852;-2499.44;0.0;3439.08
18;15692.7;3433.27;-78727.0;-21.8352;0.388276;71.7117;2;6.52;23.3871;-2499.42;0.0;3433.27
19;15666.2;3427.46;-81382.4;-22.5717;0.390284;71.7097;2;6.74;23.389;-2499.43;0.0;3427.46
20;15639.6;3421.65;-84037.9;-23.3082;0.39264;71.7074;2;6.96;23.3901;-2499.43;0.0;3421.65
21;15613.1;3415.84;-86693.3;-24.0446;0.394961;71.705;2;7.18;23.3909;-2499.44;0.0;3415.84
22;15586.1;3409.95;-89385.9;-24.7915;0.397224;71.7028;2;7.4;23.389;-2499.43;0.0;3409.95
23;15558.5;3403.9;-92153.5;-25.5591;0.399498;71.7005;2;7.63;23.3909;-2499.44;0.0;3403.9
24;15531.9;3398.09;-94809.0;-26.2956;0.401761;71.6982;2;7.85;23.3909;-2499.45;0.0;3398.09
25;15505.4;3392.28;-97464.4;-27.032;0.403885;71.6961;2;8.07;23.3886;-2499.45;0.0;3392.28
26;15478.8;3386.47;-100120.0;-27.7685;0.405903;71.6941;2;8.29;23.3882;-2499.45;0.0;3386.47
27;15452.2;3380.66;-102775.0;-28.505;0.408294;71.6917;2;8.51;23.3878;-2499.44;0.0;3380.66
28;15425.7;3374.85;-105431.0;-29.2415;0.410882;71.6891;2;8.73;23.3875;-2499.46;0.0;3374.85
29;15399.1;3369.04;-108086.0;-29.978;0.413446;71.6866;2;8.95;23.3863;-2499.47;0.0;3369.04
30;15372.6;3363.23;-110741.0;-30.7145;0.416184;71.6838;2;9.18;23.3852;-2499.46;0.0;3363.23
31;15344.9;3357.18;-113509.0;-31.4821;0.419121;71.6809;2;9.4;23.384;-2499.45;0.0;3357.18
32;15318.4;3351.37;-116164.0;-32.2186;0.422125;71.6779;2;9.62;23.3844;-2499.46;0.0;3351.37
33;15291.8;3345.56;-118820.0;-32.955;0.425063;71.6749;2;9.84;23.3844;-2499.46;0.0;3345.56
34;15265.2;3339.75;-121475.0;-33.6915;0.428207;71.6718;2;10.06;23.3859;-2499.46;0.0;3339.75
35;15238.7;3333.94;-124131.0;-34.428;0.431351;71.6686;2;10.28;23.3867;-2499.47;0.0;3333.94
36;15212.1;3328.13;-126786.0;-35.1645;0.43445;71.6656;2;10.5;23.3897;-2499.47;0.0;3328.13
37;15185.6;3322.32;-129441.0;-35.901;0.437421;71.6626;2;10.72;23.3901;-2499.47;0.0;3322.32
38;15157.9;3316.26;-132209.0;-36.6686;0.440436;71.6596;2;10.95;23.3924;-2499.48;0.0;3316.26
39;15131.0;3310.37;-134902.0;-37.4154;0.443478;71.6565;2;11.17;23.3928;-2499.48;0.0;3310.37
40;15104.8;3304.65;-137520.0;-38.1415;0.446413;71.6536;2;11.39;23.3905;-2499.47;0.0;3304.65
41;15077.9;3298.75;-140213.0;-38.8884;0.449234;71.6508;2;11.61;23.3913;-2499.46;0.0;3298.75
42;15051.7;3293.03;-142831.0;-39.6145;0.452367;71.6476;2;11.83;23.392;-2499.46;0.0;3293.03
43;15025.1;3287.22;-145486.0;-40.351;0.455603;71.6444;2;12.05;23.392;-2499.46;0.0;3287.22
44;14998.6;3281.41;-148141.0;-41.0875;0.458726;71.6413;2;12.27;23.3928;-2499.47;0.0;3281.41
45;14970.5;3275.27;-150946.0;-41.8654;0.461906;71.6381;2;12.5;23.3932;-2499.47;0.0;3275.27
46;14944.0;3269.46;-153602.0;-42.6019;0.465573;71.6344;2;12.72;23.3924;-2499.47;0.0;3269.46
47;14917.4;3263.65;-156257.0;-43.3384;0.469031;71.631;2;12.94;23.3924;-2499.46;0.0;3263.65
48;14890.9;3257.84;-158913.0;-44.0749;0.472315;71.6277;2;13.16;23.394;-2499.46;0.0;3257.84
49;14864.7;3252.11;-161531.0;-44.801;0.47641;71.6236;2;13.38;23.3947;-2499.45;0.0;3252.11
50;14837.8;3246.22;-164223.0;-45.5479;0.479927;71.6201;2;13.6;23.3955;-2499.44;0.0;3246.22
51;14811.6;3240.5;-166841.0;-46.274;0.483744;71.6163;2;13.82;23.3955;-2499.45;0.0;3240.5
52;14783.5;3234.36;-169646.0;-47.0519;0.487515;71.6125;2;14.05;23.3958;-2499.44;0.0;3234.36
53;14757.0;3228.55;-172302.0;-47.7884;0.491936;71.6081;2;14.27;23.3962;-2499.44;0.0;3228.55
54;14730.4;3222.74;-174957.0;-48.5249;0.495952;71.604;2;14.49;23.3966;-2499.43;0.0;3222.74
55;14703.9;3216.93;-177613.0;-49.2614;0.500082;71.5999;2;14.71;23.397;-2499.44;0.0;3216.93
56;14677.3;3211.12;-180268.0;-49.9979;0.504353;71.5956;2;14.93;23.3985;-2499.45;0.0;3211.12
57;14650.8;3205.31;-182923.0;-50.7343;0.508531;71.5915;2;15.15;23.3989;-2499.47;0.0;3205.31
58;14624.2;3199.5;-185579.0;-51.4709;0.512916;71.5871;2;15.37;23.3993;-2499.48;0.0;3199.5
59;14596.5;3193.45;-188346.0;-52.2385;0.517037;71.583;2;15.6;23.3993;-2499.47;0.0;3193.45
60;14570.0;3187.64;-191002.0;-52.9749;0.521433;71.5786;2;15.82;23.3993;-2499.47;0.0;3187.64
61;14543.4;3181.83;-193657.0;-53.7114;0.525542;71.5745;2;16.04;23.4004;-2499.49;0.0;3181.83
62;14516.9;3176.02;-196313.0;-54.4479;0.529998;71.57;2;16.26;23.4012;-2499.47;0.0;3176.02
63;14490.3;3170.21;-198968.0;-55.1844;0.533886;71.5661;2;16.48;23.4019;-2499.47;0.0;3170.21
64;14463.8;3164.4;-201623.0;-55.9209;0.53825;71.5618;2;16.7;23.4023;-2499.46;0.0;3164.4
65;14437.2;3158.59;-204279.0;-56.6573;0.542658;71.5573;2;16.93;23.4031;-2499.46;0.0;3158.59
66;14409.5;3152.53;-207046.0;-57.4249;0.546976;71.553;2;17.15;23.4031;-2499.45;0.0;3152.53
