Nr;TotalArea;Area;DeltaArea;DeltaMolecules;Pressure;Tension;Mode;Time;Temp;Potential;Radioactivity;area_mols
1;16473.6;1272.04;-635.742;-0.499588;14.3705;57.7295;2;0.51;23.2631;-2499.64;0.0;1272.04
2;16466.2;1271.47;-1383.79;-1.08743;14.369;57.731;2;1.08;23.2635;-2499.65;0.0;1271.47
3;16459.4;1270.95;-2057.03;-1.61648;14.3676;57.7324;2;1.61;23.2631;-2499.65;0.0;1270.95
4;16453.1;1270.45;-2692.77;-2.11607;14.3665;57.7335;2;2.1;23.2651;-2499.64;0.0;1270.45
5;16447.1;1269.99;-3291.21;-2.58634;14.3653;57.7347;2;2.55;23.2685;-2499.63;0.0;1269.99
6;16441.9;1269.59;-3814.84;-2.99783;14.3643;57.7357;2;2.97;23.2662;-2499.64;0.0;1269.59
7;16437.0;1269.21;-4300.98;-3.37985;14.3642;57.7358;2;3.35;23.2662;-2499.64;0.0;1269.21
8;16432.1;1268.84;-4787.3;-3.76202;14.3629;57.7371;2;3.72;23.2662;-2499.64;0.0;1268.84
9;16428.0;1268.52;-5198.63;-4.08526;14.364;57.736;2;4.05;23.2651;-2499.63;0.0;1268.52
10;16423.9;1268.2;-5609.96;-4.4085;14.3624;57.7376;2;4.37;23.2647;-2499.63;0.0;1268.2
11;16420.2;1267.91;-5983.98;-4.70242;14.3635;57.7365;2;4.66;23.2635;-2499.63;0.0;1267.91
12;16416.4;1267.62;-6358.01;-4.99634;14.3635;57.7365;2;4.94;23.2635;-2499.62;0.0;1267.62
13;16412.7;1267.34;-6732.03;-5.29026;14.3629;57.7371;2;5.21;23.2628;-2499.61;0.0;1267.34
14;16409.7;1267.1;-7031.25;-5.52539;14.3649;57.7351;2;5.45;23.2628;-2499.61;0.0;1267.1
15;16406.7;1266.87;-7330.47;-5.76053;14.3639;57.7361;2;5.69;23.2651;-2499.61;0.0;1266.87
16;16403.7;1266.64;-7629.69;-5.99566;14.3659;57.7341;2;5.91;23.2662;-2499.62;0.0;1266.64
17;16400.7;1266.41;-7928.91;-6.2308;14.3661;57.7339;2;6.14;23.2677;-2499.62;0.0;1266.41
18;16398.1;1266.21;-8190.63;-6.43647;14.3673;57.7327;2;6.36;23.2658;-2499.63;0.0;1266.21
19;16395.1;1265.98;-8489.84;-6.6716;14.369;57.731;2;6.58;23.2662;-2499.62;0.0;1265.98
20;16392.1;1265.75;-8788.87;-6.90659;14.3696;57.7304;2;6.8;23.2662;-2499.62;0.0;1265.75
21;16389.5;1265.55;-9050.78;-7.11241;14.3723;57.7277;2;7.02;23.2651;-2499.62;0.0;1265.55
22;16386.5;1265.31;-9350.0;-7.34754;14.3739;57.7261;2;7.24;23.2647;-2499.62;0.0;1265.31
23;16383.9;1265.11;-9611.82;-7.55329;14.3767;57.7233;2;7.46;23.2647;-2499.63;0.0;1265.11
24;16380.9;1264.88;-9911.04;-7.78842;14.3795;57.7205;2;7.69;23.2662;-2499.64;0.0;1264.88
25;16377.9;1264.65;-10210.2;-8.02348;14.3822;57.7178;2;7.91;23.2658;-2499.64;0.0;1264.65
26;16374.9;1264.42;-10509.4;-8.25862;14.3853;57.7147;2;8.13;23.2639;-2499.64;0.0;1264.42
27;16372.3;1264.22;-10771.3;-8.46444;14.3878;57.7122;2;8.35;23.2624;-2499.64;0.0;1264.22
28;16369.3;1263.99;-11070.4;-8.6995;14.391;57.709;2;8.57;23.2639;-2499.64;0.0;1263.99
29;16366.7;1263.78;-11332.1;-8.90517;14.3942;57.7058;2;8.79;23.2647;-2499.64;0.0;1263.78
30;16363.7;1263.55;-11631.3;-9.1403;14.3978;57.7022;2;9.01;23.2647;-2499.63;0.0;1263.55
31;16360.7;1263.32;-11930.6;-9.37544;14.4018;57.6982;2;9.24;23.2658;-2499.63;0.0;1263.32
32;16357.7;1263.09;-12229.9;-9.61065;14.4056;57.6944;2;9.46;23.2666;-2499.63;0.0;1263.09
33;16355.1;1262.89;-12491.6;-9.81632;14.4096;57.6904;2;9.68;23.2681;-2499.63;0.0;1262.89
34;16352.1;1262.66;-12790.8;-10.0515;14.4133;57.6867;2;9.9;23.2692;-2499.63;0.0;1262.66
35;16349.5;1262.46;-13052.6;-10.2572;14.4171;57.6829;2;10.12;23.2685;-2499.63;0.0;1262.46
36;16346.5;1262.22;-13351.8;-10.4923;14.4211;57.6789;2;10.34;23.2685;-2499.62;0.0;1262.22
37;16343.5;1261.99;-13651.0;-10.7274;14.4253;57.6747;2;10.56;23.2692;-2499.63;0.0;1261.99
38;16340.9;1261.79;-13912.9;-10.9332;14.4298;57.6702;2;10.78;23.2673;-2499.62;0.0;1261.79
39;16337.9;1261.56;-14212.0;-11.1683;14.4341;57.6659;2;11.01;23.2673;-2499.62;0.0;1261.56
40;16334.9;1261.33;-14511.2;-11.4034;14.4384;57.6616;2;11.23;23.2662;-2499.62;0.0;1261.33
41;16332.3;1261.13;-14772.9;-11.6091;14.4423;57.6577;2;11.45;23.2662;-2499.63;0.0;1261.13
42;16329.3;1260.9;-15072.2;-11.8442;14.4464;57.6535;2;11.67;23.2696;-2499.62;0.0;1260.9
43;16326.3;1260.66;-15371.5;-12.0794;14.4506;57.6494;2;11.89;23.2689;-2499.62;0.0;1260.66
44;16323.7;1260.46;-15633.2;-12.2851;14.4548;57.6452;2;12.11;23.2685;-2499.62;0.0;1260.46
45;16320.7;1260.23;-15932.4;-12.5202;14.4593;57.6407;2;12.33;23.2689;-2499.63;0.0;1260.23
46;16317.7;1260.0;-16231.5;-12.7553;14.4637;57.6363;2;12.56;23.2677;-2499.63;0.0;1260.0
47;16315.1;1259.8;-16493.4;-12.961;14.4682;57.6318;2;12.78;23.2666;-2499.63;0.0;1259.8
48;16312.1;1259.57;-16792.6;-13.1962;14.4724;57.6276;2;13.0;23.2673;-2499.62;0.0;1259.57
49;16309.1;1259.34;-17091.8;-13.4313;14.4766;57.6234;2;13.22;23.2692;-2499.62;0.0;1259.34
50;16306.5;1259.13;-17353.6;-13.6371;14.4808;57.6192;2;13.44;23.27;-2499.62;0.0;1259.13
51;16303.5;1258.9;-17652.8;-13.8722;14.4851;57.6149;2;13.66;23.2704;-2499.62;0.0;1258.9
52;16300.5;1258.67;-17952.1;-14.1073;14.4897;57.6103;2;13.88;23.27;-2499.63;0.0;1258.67
53;16297.5;1258.44;-18251.2;-14.3424;14.4943;57.6056;2;14.11;23.2696;-2499.63;0.0;1258.44
54;16294.9;1258.24;-18512.9;-14.5481;14.4989;57.6011;2;14.33;23.2681;-2499.63;0.0;1258.24
55;16291.9;1258.01;-18812.3;-14.7833;14.5033;57.5967;2;14.55;23.2692;-2499.63;0.0;1258.01
56;16289.3;1257.81;-19074.0;-14.989;14.5074;57.5926;2;14.77;23.2708;-2499.62;0.0;1257.81
57;16286.3;1257.57;-19373.1;-15.2241;14.5115;57.5885;2;14.99;23.2719;-2499.62;0.0;1257.57
58;16283.3;1257.34;-19672.4;-15.4592;14.5158;57.5842;2;15.21;23.2727;-2499.63;0.0;1257.34
59;16280.7;1257.14;-19934.2;-15.6649;14.5204;57.5796;2;15.43;23.2708;-2499.63;0.0;1257.14
60;16277.7;1256.91;-20233.4;-15.9001;14.5252;57.5748;2;15.66;23.2712;-2499.62;0.0;1256.91
61;16274.7;1256.68;-20532.6;-16.1352;14.5301;57.5699;2;15.88;23.27;-2499.63;0.0;1256.68
62;16272.1;1256.48;-20794.4;-16.341;14.5348;57.5652;2;16.1;23.2692;-2499.64;0.0;1256.48
63;16269.1;1256.25;-21093.7;-16.5761;14.5393;57.5607;2;16.32;23.2689;-2499.63;0.0;1256.25
64;16266.1;1256.02;-21392.8;-16.8112;14.5438;57.5562;2;16.54;23.2692;-2499.64;0.0;1256.02
65;16263.5;1255.81;-21654.5;-17.0168;14.5485;57.5515;2;16.76;23.2692;-2499.63;0.0;1255.81
66;16260.5;1255.58;-21953.9;-17.2521;14.5534;57.5466;2;16.98;23.27;-2499.63;0.0;1255.58
67;16257.5;1255.35;-22253.0;-17.4872;14.5584;57.5416;2;17.2;23.2692;-2499.63;0.0;1255.35
68;16254.9;1255.15;-22514.7;-17.6928;14.5635;57.5365;2;17.43;23.2689;-2499.64;0.0;1255.15
69;16251.9;1254.92;-22814.0;-17.928;14.5684;57.5316;2;17.65;23.2685;-2499.63;0.0;1254.92
70;16248.9;1254.69;-23113.2;-18.1631;14.573;57.527;2;17.87;23.2704;-2499.63;0.0;1254.69
71;16246.3;1254.48;-23375.0;-18.3689;14.5773;57.5227;2;18.09;23.2696;-2499.63;0.0;1254.48
72;16243.3;1254.25;-23674.2;-18.604;14.5816;57.5184;2;18.31;23.2708;-2499.63;0.0;1254.25
73;16240.6;1254.05;-23936.0;-18.8097;14.5861;57.5139;2;18.53;23.2708;-2499.64;0.0;1254.05
74;16237.6;1253.82;-24235.3;-19.0449;14.5908;57.5092;2;18.75;23.2704;-2499.64;0.0;1253.82
75;16234.7;1253.59;-24534.4;-19.2799;14.5957;57.5043;2;18.98;23.2719;-2499.63;0.0;1253.59
76;16231.7;1253.36;-24833.6;-19.5151;14.6008;57.4992;2;19.2;23.2708;-2499.63;0.0;1253.36
77;16229.0;1253.16;-25095.5;-19.7209;14.6056;57.4944;2;19.42;23.2731;-2499.62;0.0;1253.16
78;16226.1;1252.93;-25394.6;-19.956;14.6103;57.4897;2;19.64;23.2746;-2499.63;0.0;1252.93
