Nr;TotalArea;Area;DeltaArea;DeltaMolecules;Pressure;Tension;Mode;Time;Temp;Potential;Radioactivity;area_mols
1;16446.3;198.976;-3366.02;-16.8821;34.3836;37.7164;2;0.28;22.1351;-2499.94;0.0;198.976
2;16370.0;198.053;-10995.6;-55.1481;34.4119;37.6881;2;0.91;22.1401;-2499.93;0.0;198.053
3;16300.1;197.207;-17989.4;-90.225;34.402;37.698;2;1.49;22.1335;-2499.95;0.0;197.207
4;16235.8;196.428;-24422.3;-122.489;34.4349;37.6651;2;2.02;22.1454;-2499.97;0.0;196.428
5;16176.7;195.714;-30331.4;-152.126;34.5258;37.5742;2;2.51;22.1416;-2499.95;0.0;195.714
6;16119.8;195.026;-36016.2;-180.638;34.5505;37.5495;2;2.98;22.1393;-2499.93;0.0;195.026
7;16070.1;194.424;-40990.3;-205.586;34.6412;37.4588;2;3.39;22.1412;-2499.92;0.0;194.424
8;16023.0;193.854;-45702.7;-229.221;34.6924;37.4076;2;3.78;22.1366;-2499.95;0.0;193.854
9;15979.6;193.329;-50041.2;-250.98;34.7607;37.3393;2;4.14;22.1539;-2499.92;0.0;193.329
10;15939.6;192.845;-54043.0;-271.051;34.8352;37.2648;2;4.47;22.1604;-2499.93;0.0;192.845
11;15902.2;192.392;-57783.0;-289.809;34.879;37.221;2;4.78;22.1439;-2499.95;0.0;192.392
12;15863.3;191.922;-61672.7;-309.317;34.9506;37.1494;2;5.1;22.1427;-2499.91;0.0;191.922
13;15829.6;191.515;-65038.6;-326.199;35.0246;37.0754;2;5.38;22.1347;-2499.93;0.0;191.515
14;15797.1;191.121;-68292.4;-342.518;35.0803;37.0197;2;5.65;22.1358;-2499.88;0.0;191.121
15;15765.7;190.741;-71434.0;-358.275;35.1518;36.9482;2;5.91;22.147;-2499.93;0.0;190.741
16;15736.5;190.388;-74351.2;-372.906;35.2202;36.8798;2;6.15;22.1443;-2499.9;0.0;190.388
17;15709.9;190.067;-77006.6;-386.224;35.298;36.802;2;6.37;22.1397;-2499.92;0.0;190.067
18;15683.4;189.745;-79662.0;-399.542;35.3573;36.7427;2;6.59;22.1385;-2499.91;0.0;189.745
19;15656.8;189.424;-82317.4;-412.86;35.4316;36.6684;2;6.81;22.1389;-2499.93;0.0;189.424
20;15629.9;189.098;-85010.3;-426.366;35.5058;36.5942;2;7.03;22.1447;-2499.92;0.0;189.098
