Nr;TotalArea;Area;DeltaArea;DeltaMolecules;Pressure;Tension;Mode;Time;Temp;Potential;Radioactivity;area_mols
1;16417.5;320.701;-6245.9;-19.402;37.1251;34.9749;2;0.52;22.7223;-2499.86;0.0;320.701
2;16347.6;319.335;-13239.6;-41.127;37.1343;34.9657;2;1.1;22.7196;-2499.85;0.0;319.335
3;16283.3;318.078;-19672.4;-61.1093;37.132;34.968;2;1.63;22.7204;-2499.87;0.0;318.078
4;16224.2;316.924;-25581.5;-79.4653;37.1705;34.9295;2;2.12;22.7307;-2499.86;0.0;316.924
5;16169.6;315.857;-31042.0;-96.4274;37.2187;34.8813;2;2.57;22.7265;-2499.86;0.0;315.857
6;16117.6;314.842;-36240.6;-112.576;37.2864;34.8136;2;3.0;22.7311;-2499.86;0.0;314.842
7;16068.2;313.877;-41177.3;-127.911;37.3575;34.7425;2;3.41;22.7391;-2499.87;0.0;313.877
8;16024.5;313.022;-45553.2;-141.504;37.4431;34.6569;2;3.77;22.7311;-2499.85;0.0;313.022
9;15984.8;312.248;-49517.6;-153.819;37.521;34.579;2;4.1;22.7173;-2499.88;0.0;312.248
10;15944.8;311.466;-53519.4;-166.25;37.6014;34.4986;2;4.43;22.7196;-2499.86;0.0;311.466
11;15908.5;310.758;-57147.3;-177.52;37.6838;34.4162;2;4.73;22.7181;-2499.86;0.0;310.758
12;15873.7;310.078;-60625.4;-188.324;37.7671;34.3329;2;5.02;22.7292;-2499.86;0.0;310.078
13;15838.6;309.391;-64141.0;-199.245;37.8468;34.2532;2;5.31;22.7223;-2499.88;0.0;309.391
14;15808.7;308.807;-67133.0;-208.539;37.9286;34.1714;2;5.56;22.7169;-2499.87;0.0;308.807
15;15778.4;308.215;-70162.3;-217.949;38.0138;34.0862;2;5.81;22.7292;-2499.83;0.0;308.215
16;15751.8;307.697;-72817.8;-226.198;38.0943;34.0057;2;6.03;22.7257;-2499.86;0.0;307.697
17;15725.3;307.178;-75473.1;-234.446;38.1758;33.9242;2;6.25;22.7322;-2499.88;0.0;307.178
18;15698.7;306.659;-78128.7;-242.695;38.2553;33.8447;2;6.47;22.7376;-2499.85;0.0;306.659
19;15671.0;306.118;-80896.3;-251.293;38.3352;33.7648;2;6.7;22.7311;-2499.86;0.0;306.118
20;15641.9;305.549;-83813.4;-260.354;38.418;33.682;2;6.94;22.7211;-2499.85;0.0;305.549
21;15615.3;305.03;-86468.8;-268.603;38.5065;33.5935;2;7.16;22.7253;-2499.85;0.0;305.03
22;15588.8;304.511;-89124.1;-276.851;38.5937;33.5063;2;7.38;22.7387;-2499.89;0.0;304.511
23;15561.1;303.971;-91891.8;-285.448;38.6821;33.4179;2;7.61;22.7177;-2499.88;0.0;303.971
24;15534.5;303.452;-94547.3;-293.697;38.7731;33.3269;2;7.83;22.7311;-2499.87;0.0;303.452
25;15508.0;302.933;-97202.6;-301.946;38.8623;33.2377;2;8.05;22.736;-2499.88;0.0;302.933
26;15481.4;302.415;-99858.0;-310.194;38.9488;33.1512;2;8.27;22.7345;-2499.91;0.0;302.415
27;15452.6;301.852;-102738.0;-319.14;39.041;33.059;2;8.51;22.7498;-2499.91;0.0;301.852
28;15424.6;301.304;-105543.0;-327.854;39.1279;32.9721;2;8.74;22.7437;-2499.92;0.0;301.304
29;15395.8;300.742;-108423.0;-336.799;39.2143;32.8857;2;8.98;22.7234;-2499.87;0.0;300.741
30;15367.7;300.194;-111228.0;-345.512;39.3003;32.7997;2;9.21;22.7299;-2499.9;0.0;300.194
31;15338.9;299.631;-114107.0;-354.458;39.3873;32.7127;2;9.45;22.7318;-2499.9;0.0;299.631
32;15309.8;299.061;-117025.0;-363.52;39.4687;32.6313;2;9.69;22.7314;-2499.92;0.0;299.061
33;15283.2;298.542;-119680.0;-371.769;39.5544;32.5456;2;9.91;22.7414;-2499.87;0.0;298.542
34;15255.5;298.002;-122448.0;-380.366;39.644;32.456;2;10.14;22.7429;-2499.86;0.0;298.002
35;15226.4;297.432;-125365.0;-389.427;39.7319;32.3681;2;10.38;22.7559;-2499.85;0.0;297.432
36;15198.7;296.891;-128132.0;-398.025;39.8223;32.2777;2;10.61;22.7498;-2499.86;0.0;296.891
37;15169.5;296.322;-131050.0;-407.086;39.9131;32.1869;2;10.85;22.7418;-2499.91;0.0;296.322
38;15143.0;295.803;-133705.0;-415.335;39.9996;32.1004;2;11.07;22.7582;-2499.9;0.0;295.803
39;15116.4;295.284;-136360.0;-423.584;40.0864;32.0136;2;11.29;22.7548;-2499.91;0.0;295.284
40;15089.8;294.765;-139016.0;-431.832;40.1742;31.9258;2;11.51;22.7624;-2499.87;0.0;294.765
41;15062.9;294.239;-141709.0;-440.197;40.2549;31.8451;2;11.73;22.7456;-2499.86;0.0;294.239
42;15036.4;293.721;-144364.0;-448.446;40.3359;31.7641;2;11.95;22.7506;-2499.86;0.0;293.721
43;15008.7;293.18;-147132.0;-457.043;40.4207;31.6793;2;12.18;22.7544;-2499.89;0.0;293.18
44;14979.5;292.61;-150049.0;-466.105;40.499;31.601;2;12.42;22.7586;-2499.86;0.0;292.61
45;14951.8;292.07;-152816.0;-474.702;40.5783;31.5217;2;12.65;22.7521;-2499.87;0.0;292.07
46;14922.7;291.5;-155734.0;-483.764;40.6627;31.4373;2;12.89;22.7529;-2499.85;0.0;291.5
47;14895.0;290.959;-158501.0;-492.361;40.7448;31.3552;2;13.12;22.7521;-2499.86;0.0;290.959
48;14865.8;290.389;-161418.0;-501.423;40.8236;31.2764;2;13.36;22.7563;-2499.89;0.0;290.389
49;14838.1;289.849;-164186.0;-510.02;40.9081;31.1919;2;13.59;22.7598;-2499.9;0.0;289.849
50;14809.0;289.279;-167103.0;-519.081;40.9875;31.1125;2;13.83;22.7655;-2499.89;0.0;289.279
51;14782.4;288.76;-169759.0;-527.33;41.0673;31.0327;2;14.05;22.7525;-2499.89;0.0;288.76
52;14755.9;288.241;-172414.0;-535.579;41.1482;30.9518;2;14.27;22.7643;-2499.88;0.0;288.241
53;14729.3;287.723;-175069.0;-543.827;41.2317;30.8683;2;14.49;22.7594;-2499.88;0.0;287.723
54;14701.6;287.182;-177837.0;-552.425;41.308;30.792;2;14.72;22.7624;-2499.91;0.0;287.182
55;14672.5;286.612;-180754.0;-561.486;41.3842;30.7158;2;14.96;22.7567;-2499.92;0.0;286.612
56;14645.9;286.094;-183410.0;-569.735;41.4635;30.6365;2;15.18;22.7678;-2499.9;0.0;286.094
57;14619.4;285.575;-186065.0;-577.984;41.542;30.558;2;15.4;22.7674;-2499.94;0.0;285.575
58;14592.8;285.056;-188721.0;-586.233;41.6205;30.4795;2;15.62;22.7578;-2499.94;0.0;285.056
59;14565.1;284.515;-191488.0;-594.83;41.7043;30.3957;2;15.85;22.7724;-2499.92;0.0;284.515
60;14538.2;283.989;-194181.0;-603.194;41.7824;30.3176;2;16.07;22.7632;-2499.86;0.0;283.989
61;14512.0;283.478;-196799.0;-611.327;41.8627;30.2373;2;16.29;22.7716;-2499.94;0.0;283.478
62;14482.8;282.908;-199716.0;-620.389;41.9416;30.1584;2;16.53;22.7781;-2499.9;0.0;282.908
63;14456.3;282.39;-202371.0;-628.637;42.0171;30.0829;2;16.75;22.7701;-2499.92;0.0;282.39
64;14429.7;281.871;-205027.0;-636.886;42.0893;30.0107;2;16.97;22.7835;-2499.89;0.0;281.871
65;14402.1;281.33;-207794.0;-645.483;42.1652;29.9348;2;17.2;22.7781;-2499.93;0.0;281.33
66;14375.5;280.811;-210450.0;-653.732;42.2343;29.8657;2;17.42;22.79;-2499.9;0.0;280.811
67;14346.3;280.242;-213367.0;-662.793;42.3032;29.7968;2;17.66;22.7678;-2499.93;0.0;280.242
68;14320.2;279.73;-215985.0;-670.926;42.3792;29.7208;2;17.88;22.7823;-2499.93;0.0;279.73
69;14291.0;279.16;-218902.0;-679.988;42.4521;29.6479;2;18.12;22.7972;-2499.96;0.0;279.16
70;14264.4;278.642;-221558.0;-688.236;42.5221;29.5779;2;18.34;22.7949;-2499.9;0.0;278.642
71;14239.0;278.145;-224101.0;-696.136;42.5932;29.5068;2;18.55;22.7991;-2499.88;0.0;278.145
72;14212.4;277.626;-226756.0;-704.385;42.6711;29.4289;2;18.77;22.7984;-2499.95;0.0;277.626
73;14185.9;277.107;-229412.0;-712.634;42.7484;29.3516;2;18.99;22.7903;-2499.94;0.0;277.107
74;14159.3;276.589;-232067.0;-720.882;42.8248;29.2752;2;19.21;22.7892;-2499.92;0.0;276.589
