Time [s],Time[min],f1 [Hz],f3 [Hz],f5 [Hz],f7 [Hz],f9 [Hz],f11 [Hz],f13 [Hz],D3 [ppm],D5 [ppm],D7 [ppm],D9 [ppm],D11 [ppm],D13 [ppm]
0,0,0.2473,-0.1139,-0.0108,-0.0207,0.0402,-0.017,0.2392,-0.023,0.0026,0.0155,0.0273,-0.0587,0.018
0.9055,0.015091667,0.3065,-0.0013,-0.1013,-0.0409,0.0134,-0.0578,-0.5423,0.0034,0.0193,-0.0097,0.0116,-0.0329,0.083
1.7807,0.029678333,0.0696,0.0032,-0.0702,-0.001,0.0528,-0.1821,0.0034,0.0198,-0.0091,-0.0024,-0.0377,-0.0226,-0.065
2.6647,0.044411667,0.2108,-0.0333,0.0586,-0.0909,0.0233,0.031,-0.5923,0.0118,-0.0164,-0.0074,-0.0083,0.0334,-0.1061
3.5686,0.059476667,0.1755,-0.0505,-0.0333,-0.024,0.053,0.0448,0.1997,0.032,-0.027,-0.0138,-0.005,0.0566,0.0001
4.4745,0.074575,-0.0148,-0.0039,-0.0952,0.0143,-0.0705,-0.2024,-0.0056,-0.0251,0.0044,-0.0199,-0.0102,0.058,-0.0826
5.3727,0.089545,0.0359,-0.0232,-0.085,0.0303,-0.0071,0.21,-0.2144,0.0149,0.025,-0.0008,0.0271,0.0969,-0.1401
6.2667,0.104445,0.0194,0.0186,-0.0098,-0.0438,0.0687,-0.0447,0.2565,-0.0339,-0.0316,-0.0002,0.0163,0.0563,-0.0547
7.1543,0.119238333,0.1068,0.0112,0.062,0.0198,-0.0057,-0.1639,0.1637,0.0014,0.0243,0,-0.0489,-0.0398,-0.1222
8.0581,0.134301667,0.0933,-0.0014,0.0283,-0.0594,-0.0227,-0.0314,0.2754,-0.009,0.0262,0.0009,-0.0147,-0.0432,0.1654
8.9532,0.14922,0.1608,-0.1317,0.0433,-0.0414,-0.0552,0.05,0.558,0.0244,-0.016,0.0059,0.0144,-0.1347,0.1224
9.8078,0.163463333,-0.0846,0.0554,0.0401,0.033,0.0326,0.2403,-0.1179,0.0305,-0.0225,-0.0246,0.0259,-0.0139,0.096
10.5432,0.17572,-0.1205,0.0143,-0.008,0.0035,-0.0131,0.0783,-0.046,-0.0315,0.0206,-0.0113,0.0053,0.0374,-0.1025
11.4213,0.190355,-0.0452,0.054,-0.0557,0.0594,-0.0288,-0.179,0.0205,-0.0063,-0.034,0.0117,-0.0246,0.0331,0.0263
12.3136,0.205226667,-0.0898,0.0353,0.0591,-0.0344,0.0694,0.0215,-0.3782,0.0381,0.0033,0.0046,0.0236,-0.0116,0.0368
13.1762,0.219603333,-0.0967,-0.0579,0.0184,0.0168,0.0182,0.1334,0.2439,-0.0188,-0.0099,0.0026,-0.0087,0.011,-0.1465
14.0066,0.233443333,-0.2045,0.0773,-0.0298,0.0425,0.0322,0.1407,0.3418,0.0041,0.0054,0.003,0.0323,-0.0635,-0.0424
14.8451,0.247418333,-0.186,0.0311,0.1692,0.0343,-0.049,-0.0694,0.0334,-0.0082,-0.0334,-0.0119,0.017,-0.0341,-0.0811
15.6813,0.261355,-0.181,0.0735,-0.0358,0.0741,-0.0636,0.063,0.3103,-0.0181,0.0039,0.0353,-0.011,0.0475,0.1362
16.519,0.275316667,-0.1516,0.0276,0.0155,0.0276,-0.0767,0.1196,-0.0739,-0.0339,0.0452,0.0078,-0.0453,-0.0592,0.1602
17.3807,0.289678333,-0.251,0.0156,0.0404,0.0008,-0.0113,-0.1849,-0.6751,0.0277,0.0198,0.0146,0.0137,0.084,0.0988
18.2707,0.304511667,-0.2734,0.0384,-0.0358,-0.0314,-0.0154,0.2751,0.2669,-0.0245,0.009,0.0054,-0.006,0.0139,-0.0345
19.1827,0.319711667,-0.2993,0.1028,0.0187,-0.0047,-0.0207,-0.1115,-0.4159,0.0205,0.0373,-0.0234,-0.014,0.0336,0.0648
20.0745,0.334575,-0.3034,-0.1168,-0.0754,0.0277,-0.0459,0.3036,0.3777,0.0053,-0.0019,0.0023,-0.0121,-0.0337,-0.0526
20.9555,0.349258333,-0.1711,-0.0138,-0.0338,-0.0824,-0.0393,-0.1015,0.1404,-0.022,-0.0321,0.003,-0.0077,0.0268,-0.059
21.8447,0.364078333,-0.2652,-0.0494,0.1398,-0.054,-0.0709,0.0094,0.5122,-0.011,-0.0379,-0.0276,-0.0197,0.0498,0.0132
22.7527,0.379211667,-0.3728,0.0503,0.0394,0.061,0.0493,-0.0556,0.2793,-0.0193,-0.0419,0.0303,0.0117,0.0227,0.0733
23.6308,0.393846667,-0.5039,-0.0247,-0.0345,-0.084,-0.0151,-0.1092,-0.0348,-0.0229,0.0189,0.0008,-0.0037,0.0377,0.0913
24.5112,0.40852,-0.4226,-0.0119,-0.0662,-0.0366,-0.0106,-0.0272,0.2773,0.0265,0.0384,0.024,0.0264,-0.0132,0.0021
25.3867,0.423111667,-0.5004,0.1002,0.1375,-0.0435,-0.0883,0.1702,0.1267,-0.0347,-0.0001,0.0188,-0.0121,0.0331,0.035
26.2831,0.438051667,-0.3788,0.0138,-0.0235,-0.0158,0.0273,-0.0671,-0.141,0.0053,-0.024,-0.0274,0.0263,-0.0506,0.0048
27.1473,0.452455,-0.4247,0.101,-0.0263,0.0385,0.0338,-0.1666,-0.0676,0.0093,-0.0068,-0.0066,0.0077,0.0112,0.2168
28.0027,0.466711667,-0.4779,0.08,0.0114,-0.0221,0.0441,0.0851,0.466,-0.0289,-0.0146,0.0146,-0.0124,-0.0071,0.1036
28.8787,0.481311667,-0.4698,0.001,-0.0179,-0.0196,-0.0443,0.2622,0.3475,0.0274,-0.035,0.0074,-0.0327,-0.0014,0.1084
29.7787,0.496311667,-0.3802,-0.0214,0.0432,-0.0726,0.0892,0.0468,0.2066,-0.0103,-0.0286,0.0343,0.0137,-0.049,-0.1695
30.6613,0.511021667,-0.5847,-0.0167,0.0204,-0.0163,0.0692,-0.001,-0.0985,-0.0135,-0.0005,-0.0102,-0.0051,-0.0654,-0.0717
31.5391,0.525651667,-0.5674,0.0137,0.0533,0.0058,0.022,0.0714,0.3219,0.0414,0.0516,0.0149,0.002,0.0241,-0.0535
32.4967,0.541611667,-0.6059,-0.0861,0.1264,-0.007,0.0958,-0.2862,0.0039,-0.029,0.0381,0.004,-0.0042,0.1193,-0.0181
33.3385,0.555641667,-0.5782,0.0484,0.1517,0.0403,-0.0108,-0.0463,-0.2993,0.0026,-0.0182,0.0003,-0.0381,-0.0009,0.0135
34.2151,0.570251667,-0.5983,0.076,0.0558,-0.0471,0.0625,0.1823,0.1256,-0.0158,0.0579,0.0275,-0.0276,-0.0759,-0.0775
35.0912,0.584853333,-0.7939,-0.0864,-0.0831,0.1007,0.0383,-0.1466,-0.3319,-0.031,0.0196,0.0085,0.0228,0.0396,-0.1465
35.9382,0.59897,-0.9575,0.0346,0.1389,0.0504,-0.0708,0.3282,-0.3169,0.0048,-0.0086,0.009,-0.0113,-0.0092,-0.0785
36.8175,0.613625,-4.6522,-0.0103,0.1487,0.0251,0.047,0.1539,-0.2165,0.0036,-0.0019,0.0037,-0.0008,-0.037,-0.1555
37.6967,0.628278333,-2.6882,0.0004,0.0561,-0.0082,0.0335,-0.0548,-0.0126,-0.0606,-0.0264,-0.0088,0.0088,0.0689,-0.062
38.5715,0.642858333,3.3895,0.147,0.2017,0.032,0.1226,0.2716,0.2659,-0.0108,0.0162,0.0016,-0.0006,0.0064,0.201
39.4642,0.657736667,6.842,0.0118,0.074,0.0475,0.0499,-0.1888,-0.2609,-0.0159,0.0074,-0.0054,0.0133,0.0467,-0.1012
40.3687,0.672811667,9.6347,0.0676,0.0864,-0.0466,0.0409,-0.0745,-0.7774,-0.0119,0.0248,0.0134,0.0269,0.0968,-0.0156
41.2485,0.687475,12.2639,-0.1188,-0.0851,0.0142,0.07,-0.0617,-0.1173,-0.0242,0.0175,0.0038,0.0149,0.0954,-0.1706
42.0245,0.700408333,13.7136,0.0046,0.121,-0.037,-0.0972,0.2015,-0.6134,0.0051,-0.0258,-0.0065,0.0258,0.0089,0.0288
42.9165,0.715275,15.2274,0.0065,-0.0536,0.0398,0.0277,0.0829,0.4834,-0.0212,0.0189,-0.0058,0.0102,0.0078,0.1183
43.6883,0.728138333,15.4816,0.0027,0.0183,0.0487,0.1539,0.1181,0.0479,-0.0347,0.0374,0.0213,0.0082,-0.1202,-0.0216
44.4652,0.741086667,16.4671,0.0415,0.1285,-0.017,0.0164,-0.0779,-0.134,-0.0548,0.0068,0.0218,0.0054,-0.0442,0.0167
45.346,0.755766667,16.6994,-0.0695,0.1145,-0.0554,0.0308,-0.0372,0.2994,-0.0368,-0.0076,0.0079,0,0.0196,-0.0609
46.2288,0.77048,16.2663,0.0644,0.0768,-0.0007,-0.1556,0.3052,0.0535,0.0052,0.0302,0.0686,0.0091,-0.0414,0.006
47.1107,0.785178333,15.8259,-0.0117,0.121,-0.0649,0.0166,0.2525,-0.5009,-0.0296,-0.0061,-0.0082,0.0264,-0.0734,0.0922
47.9966,0.799943333,14.86,0.0807,0.1024,-0.0402,0.0111,0.1326,0.0164,-0.0357,-0.0039,-0.0067,0.0482,0.1779,-0.0232
48.839,0.813983333,14.2197,-0.0996,0.1617,0.1036,0.1917,-0.0596,0.3325,-0.0217,-0.0085,0.0055,0.0372,-0.0468,0.2122
49.6747,0.827911667,13.2332,0.0549,0.182,-0.0097,0.0708,0.0661,0.506,-0.0291,0.0301,0.0105,0.0416,-0.08,0.0394
50.5082,0.841803333,13.2468,0.1682,0.1081,-0.0103,0.0371,0.0643,0.4955,-0.0119,0.0294,0.0196,-0.0122,-0.0566,0.0209
