Time [s],Time[min],f1 [Hz],f3 [Hz],f5 [Hz],f7 [Hz],f9 [Hz],f11 [Hz],f13 [Hz],D3 [ppm],D5 [ppm],D7 [ppm],D9 [ppm],D11 [ppm],D13 [ppm]
0,0,-0.0949,0.0463,0.0588,0.0134,0.0626,-0.1262,0.0291,0.0198,-0.0213,-0.0139,0.0082,-0.0181,0.2218
1.272,0.0212,-0.0117,-0.2741,0.0005,-0.0195,0.0833,-0.0545,0.2103,-0.0839,0.0233,0.0034,0.0042,-0.0905,-0.0259
2.5926,0.04321,0.1171,-0.0179,-0.0323,0.0626,0.0428,0.1414,0.0105,-0.0163,0.0388,0.0128,0.0114,0.0262,-0.0654
3.9307,0.065511667,0.063,0.1307,-0.1,-0.0976,-0.1188,-0.0087,0.175,0.0115,-0.0156,0.0018,0.009,0.0318,0.0909
5.2685,0.087808333,-0.1486,-0.021,0.0563,-0.0711,-0.01,-0.0437,0.0011,-0.053,0.0025,-0.0092,-0.0075,-0.0425,-0.069
6.5921,0.109868333,0.0221,-0.2011,-0.0177,-0.1036,-0.0024,0.1048,0.1467,-0.0305,0.0303,-0.0075,0.0161,-0.0393,-0.0505
7.9265,0.132108333,0.0678,0.0071,-0.1474,-0.0349,0.0436,-0.183,-0.0723,0.0106,-0.024,0.0026,-0.0269,-0.1167,-0.026
9.2684,0.154473333,0.1134,0.1579,-0.0015,0.041,0.0183,0.0336,-0.1324,-0.002,-0.0522,-0.0126,-0.0097,0.0188,-0.0601
10.6008,0.17668,-0.0359,-0.0424,0.1464,0.0569,0.0729,-0.1788,0.2067,-0.0243,0.0026,0.0016,0.0047,0.09,0.0123
11.948,0.199133333,-0.0513,-0.1962,0.0299,0.1125,-0.0377,0.0088,0.0436,-0.0609,0.0444,0.0167,-0.0023,0.0139,-0.0836
13.2607,0.221011667,-0.0237,0.1339,0.1039,-0.079,0.0141,-0.1778,-0.2046,0.0442,0.0103,-0.015,0.0062,0.027,-0.0344
14.6057,0.243428333,-0.0318,0.3187,-0.0244,0.0719,-0.0669,-0.0652,0.1315,0.0493,0.0201,0.0052,-0.0142,0.0266,0.1992
15.9279,0.265465,-0.09,0.0045,-0.1243,-0.0164,-0.0119,0.1191,-0.1968,-0.0123,0.0135,0.0354,-0.0193,-0.0034,-0.0865
17.2685,0.287808333,0.0577,-0.1781,-0.0774,-0.0196,-0.0511,-0.101,-0.1615,-0.031,0.0524,-0.0124,-0.0113,-0.0362,-0.0629
18.6113,0.310188333,-0.0019,0.2167,0.0294,0.0068,-0.0325,0.272,-0.1521,0.0711,-0.0347,-0.0267,-0.0218,0.0456,0.1547
19.9527,0.332545,0.0713,0.0918,0.1407,-0.0341,0.0086,0.2269,0.024,0.0336,-0.0072,0.0232,0.0116,-0.0173,-0.0479
21.2749,0.354581667,-0.1066,0.0382,-0.0152,-0.0003,-0.0112,0.024,-0.044,0.0594,0.0005,-0.0047,-0.0007,0.0677,-0.0526
22.59,0.3765,0.0609,-0.2794,0.0267,-0.0027,-0.0466,0,-0.0315,-0.0649,-0.0203,0.0342,-0.0114,-0.0522,-0.0132
23.9225,0.398708333,0.0004,0.1062,-0.1149,0.0137,0.0049,0.0326,0.0186,0.0313,-0.0356,0.0063,0.0045,-0.014,0.0752
25.25,0.420833333,0.214,0.0765,0.0304,0.0161,0.0159,0.0534,-0.1067,0.0854,-0.0012,-0.0523,0.0407,0.0813,0.1008
26.5725,0.442875,-0.1912,-0.1182,0.032,0.0839,0.0221,-0.0776,0.1048,-0.037,-0.0264,0.0113,0.0084,0.0011,-0.1771
27.8631,0.464385,0.1564,-0.1092,-0.1431,-0.0629,0.0343,-0.2877,-0.1525,0.0188,-0.0265,-0.0061,0.007,-0.0357,-0.0618
29.2078,0.486796667,0.0368,0.1629,0.0689,-0.059,-0.0098,-0.0822,-0.2193,-0.0327,-0.0228,-0.0362,0.0141,0.0108,0.0279
30.5601,0.509335,0.0435,0.1152,-0.0284,-0.0197,0.0066,-0.0997,-0.3479,0.1033,-0.0216,0.0049,-0.0065,0.0856,0.0914
31.8864,0.53144,-0.122,-0.1157,-0.032,-0.0159,-0.0757,-0.0515,0.2145,-0.0287,0.0055,-0.0104,-0.0309,0.027,-0.079
33.2331,0.553885,-0.0125,-0.135,-0.0274,-0.0589,-0.0349,0.2019,0.0561,0.0227,-0.0083,0.0077,-0.0294,-0.0101,0.0119
34.5846,0.57641,0.0903,0.2487,-0.0176,-0.0414,-0.0041,-0.254,-0.0805,0.0632,-0.0332,0.0095,-0.0039,0.056,0.1321
35.908,0.598466667,0.1182,0.239,-0.091,-0.0169,-0.0612,-0.0127,0.2623,0.0301,0.0156,-0.0083,-0.0002,-0.0676,0.0357
37.2428,0.620713333,-0.1012,-0.1242,-0.0026,-0.0414,-0.0705,0.0527,0.075,-0.0354,0.0309,0.0031,0.0211,-0.0259,-0.0351
38.5665,0.642775,0.1229,-0.0818,0.0236,0.0267,0.0248,-0.2593,0.2281,-0.0683,0.0196,-0.0217,0.008,-0.0709,-0.0379
39.87,0.6645,0.0288,0.0404,-0.0072,0.0754,0.0077,-0.1059,-0.115,0.0146,-0.0253,0.0174,0.0103,-0.057,0.2042
41.2217,0.687028333,0.0938,0.1799,0.0161,0.0122,-0.0563,0.061,0.1958,0.0283,-0.0305,0.0132,0.0197,0.0386,-0.4122
42.5538,0.70923,-0.0797,-0.1255,-0.0031,-0.0242,-0.0067,0.011,-0.0817,-0.0319,-0.0056,-0.028,-0.0129,0.0073,0.0363
43.8889,0.731481667,0.1469,-0.1032,0.0543,-0.0354,0.0365,-0.0437,0.2277,-0.0335,0.0012,-0.0509,0.0109,0.0123,0.0082
45.2365,0.753941667,-0.0072,0.1581,-0.1771,0.0983,-0.0871,0.1747,-0.2523,0.0247,-0.0532,-0.0319,-0.0089,0.0243,0.138
46.5608,0.776013333,0.0505,-0.0139,0.0134,-0.0994,-0.0242,-0.1852,-0.1294,0.0001,-0.042,-0.0048,-0.0008,-0.0405,-0.0618
47.9026,0.798376667,-0.148,-0.0378,-0.0987,-0.0145,0.0341,0.1307,0.2894,-0.0291,0.0248,0.0155,-0.0324,-0.0425,0.2098
49.202,0.820033333,0.0616,-0.0962,-0.0431,0.1445,-0.0454,-0.173,-0.0385,-0.0289,-0.0392,0.0335,-0.0101,0.0141,-0.0111
50.5109,0.841848333,-0.0837,0.1581,0.0469,0.0507,-0.0062,-0.1025,-0.1091,0.0593,-0.0869,0.0198,-0.0124,-0.0223,0.1525
