Time [s],Time [min],f1 [Hz],f3 [Hz],f5 [Hz],f7 [Hz],f9 [Hz],f11 [Hz],f13 [Hz],D3 [ppm],D5 [ppm],D7 [ppm],D9 [ppm],D11 [ppm],D13 [ppm]
0,0,-0.0679,0.0115,-0.0921,0.0953,-0.0375,-0.1112,-0.0018,-0.0313,0.0304,-0.0112,0.0011,0.039,0.0215
1.2987,0.021645,-0.0786,-0.0045,-0.0339,-0.0035,0.0544,0.2089,0.6179,-0.0001,-0.0107,-0.0225,0.0169,0.0086,0.0392
2.6244,0.04374,0.0419,0.0406,0.0368,-0.0191,0.0264,-0.1704,-0.4583,-0.0021,-0.0013,-0.0131,0.0144,-0.0191,0.1118
3.9688,0.066146667,0.0745,-0.0646,0.0194,-0.0779,-0.0816,0.0074,0.2187,-0.0111,-0.0038,0.0014,-0.0214,0.0395,0.0606
5.2959,0.088265,-0.2402,-0.07,0.034,0.1164,0.0358,0.0362,-0.0812,0.0048,-0.0521,-0.0011,0.0046,-0.0361,0.0325
6.6296,0.110493333,-0.0575,-0.1094,-0.057,-0.0583,-0.0098,0.3369,-0.5844,0.009,0.0027,-0.0254,0.0217,-0.0363,0.0426
7.9619,0.132698333,0.1478,-0.0525,0.0203,-0.0838,-0.0612,-0.2202,-0.243,-0.0045,-0.0149,0.0371,-0.0036,-0.0568,-0.0511
9.3047,0.155078333,0.0032,-0.0796,0.074,0.0276,-0.0308,0.0176,-0.4288,-0.0093,0.0064,0.0316,-0.0144,0.0378,0.0891
10.6299,0.177165,-0.1433,0.0138,0.1462,-0.07,0.1389,0.0501,0.1411,0.0077,0.0649,0.0009,-0.0089,0.0697,0.1504
11.9677,0.199461667,0.0325,0.0975,0.0226,-0.1239,-0.0127,-0.2388,0.5648,-0.0234,-0.0148,0.0165,-0.0096,0.0734,0.0027
13.29,0.2215,0.0419,-0.074,0.0821,-0.0111,-0.0756,0.2863,0.4718,-0.0192,-0.0221,-0.0063,0.0012,-0.0047,0.0966
14.6459,0.244098333,0.078,-0.0379,-0.0234,-0.0832,0.0121,0.1141,0.1013,-0.0005,0.0376,-0.0079,0.0036,-0.0124,0.0273
15.97,0.266166667,-0.1448,0.0431,-0.0625,0.1204,-0.0159,-0.0538,0.125,0.0072,-0.0025,0.004,0.0109,-0.0345,-0.0876
17.2962,0.28827,-0.0069,0.0172,0.0648,0.0793,-0.0284,0.0442,0.2264,-0.0209,0.0411,-0.0041,0.0171,0.0831,-0.0631
18.6505,0.310841667,0.0781,-0.0763,0.0425,0.0025,-0.0127,-0.2257,-0.1719,-0.0025,-0.0074,0.0106,-0.0237,-0.0028,-0.0887
19.9924,0.333206667,0.1053,-0.0172,-0.0551,-0.0563,-0.067,-0.1286,-0.2752,0.0159,-0.0204,-0.0083,0.0149,-0.0824,-0.3635
21.2943,0.354905,-0.1533,-0.0068,-0.045,0.0992,0.1361,-0.0647,0.317,-0.0012,-0.0008,-0.0006,-0.0228,-0.0407,0.0097
22.6284,0.37714,0.1151,0.1318,-0.0463,0.0664,-0.0828,0.0784,-0.5408,0.0209,-0.0239,0.0012,-0.0096,-0.0594,0.1958
23.9584,0.399306667,0.1811,0.097,-0.1651,-0.0384,-0.0097,0.0236,0.2425,0.0243,-0.0388,-0.0087,0.0031,-0.03,-0.0548
